iter	Logloss
0	0.6902612672
1	0.6870022343
2	0.6839796023
3	0.6810594372
4	0.678278459
5	0.6756748883
6	0.6732968408
7	0.6711821291
8	0.6693967941
9	0.6671813047
10	0.6649115093
11	0.6628202099
12	0.6613284811
13	0.6596842147
14	0.6579885857
15	0.6564394085
16	0.655247162
17	0.6540339965
18	0.6523824317
19	0.6510682167
20	0.6497364416
21	0.6483064742
22	0.6470197673
23	0.645948183
24	0.6448324361
25	0.6436216369
26	0.6424909787
27	0.6413370807
28	0.6403287343
29	0.6395002004
30	0.6386048467
31	0.6375590928
32	0.6366313273
33	0.6355079294
34	0.6346349087
35	0.6338258921
36	0.6330911781
37	0.6321019055
38	0.6312598428
39	0.6304427241
40	0.629555711
41	0.6286136628
42	0.6275259596
43	0.6265032665
44	0.625814364
45	0.6250512251
46	0.6242664384
47	0.6236713562
48	0.6229968205
49	0.6222667308
50	0.6213193323
51	0.6204045912
52	0.61958175
53	0.6189833971
54	0.6182859297
55	0.6176025284
56	0.6168724053
57	0.6162571458
58	0.6156793232
59	0.6149468932
60	0.6143845067
61	0.6138745606
62	0.6134158226
63	0.6128173888
64	0.6119637306
65	0.6114176362
66	0.6107614156
67	0.610240133
68	0.6097708118
69	0.609210578
70	0.6086569552
71	0.6082110427
72	0.60778336
73	0.607246471
74	0.6065968251
75	0.6059970508
76	0.6055290347
77	0.6050588284
78	0.6047130232
79	0.6043038026
80	0.6038159892
81	0.6034061686
82	0.60300868
83	0.6025554224
84	0.6021361911
85	0.6016518695
86	0.6012505143
87	0.6006914495
88	0.600195761
89	0.5997283524
90	0.5991940546
91	0.598814713
92	0.5983760015
93	0.5978813595
94	0.5974756427
95	0.5971774621
96	0.5968268249
97	0.5965141099
98	0.5960021308
99	0.5956458284
100	0.5951562865
101	0.594642173
102	0.5941753593
103	0.5937481649
104	0.5933017562
105	0.5930460874
106	0.5925679879
107	0.5922507545
108	0.5918703231
109	0.5914736737
110	0.5911296061
111	0.5907511164
112	0.5904805168
113	0.5901173236
114	0.5897562105
115	0.5893040899
116	0.5890420745
117	0.5886171562
118	0.5883391183
119	0.5880018135
120	0.5877607495
121	0.5874918411
122	0.5871595473
123	0.5868156693
124	0.586430678
125	0.5860232247
126	0.5857624007
127	0.5853355378
128	0.5849670036
129	0.5845804097
130	0.5842967884
131	0.5838991773
132	0.5835978482
133	0.58332082
134	0.5830405871
135	0.5827893338
136	0.5825223874
137	0.5822361714
138	0.5819580285
139	0.5816641796
140	0.5812761114
141	0.5809741398
142	0.5806470715
143	0.5803086337
144	0.5799475133
145	0.5797273919
146	0.5794240609
147	0.5791441699
148	0.5786870928
149	0.5784735054
150	0.5781933485
151	0.5778653022
152	0.577704755
153	0.5774667798
154	0.5772354531
155	0.5769258577
156	0.5766892216
157	0.5763441109
158	0.5760553509
159	0.5757573622
160	0.575449773
161	0.5751555798
162	0.5749052703
163	0.5745309393
164	0.5742794677
165	0.5739946371
166	0.5736634931
167	0.5733729533
168	0.5731340212
169	0.572920659
170	0.5725419458
171	0.5722208683
172	0.5720668362
173	0.5716567958
174	0.571432374
175	0.5711360064
176	0.5708525362
177	0.5705400349
178	0.5701831625
179	0.5699228888
180	0.5696170116
181	0.5693511948
182	0.5690738602
183	0.5689235544
184	0.5686765177
185	0.5683796033
186	0.5681940805
187	0.5678998794
188	0.5676275113
189	0.5674337493
190	0.567166582
191	0.5669124023
192	0.5667184493
193	0.5665274964
194	0.5662450092
195	0.5659885962
196	0.565838001
197	0.5655551189
198	0.5652965277
199	0.5650557959
200	0.564707631
201	0.5643694875
202	0.5640808325
203	0.5637529196
204	0.5634544861
205	0.5631327626
206	0.5628525155
207	0.5625893763
208	0.562206081
209	0.5619810613
210	0.5616560172
211	0.5613564059
212	0.561081358
213	0.5607643406
214	0.5605608167
215	0.5603754133
216	0.5600849125
217	0.5596944731
218	0.5594785935
219	0.5591540544
220	0.5588961898
221	0.5586586185
222	0.5584117195
223	0.5581708921
224	0.5579239083
225	0.5576105381
226	0.5573495638
227	0.557071959
228	0.5568727542
229	0.5566441003
230	0.5563723704
231	0.5561997779
232	0.5559622066
233	0.5556308773
234	0.5553386913
235	0.5550580578
236	0.5547639226
237	0.5545387434
238	0.5541871209
239	0.5539289193
240	0.5536769881
241	0.5534094739
242	0.5532088321
243	0.5529892879
244	0.5526674176
245	0.5524064236
246	0.5520538233
247	0.5517888406
248	0.5514878251
249	0.5511954413
250	0.5508552836
251	0.5505455267
252	0.5502749855
253	0.549948101
254	0.5496257304
255	0.5493551324
256	0.5491271489
257	0.548875126
258	0.5486065838
259	0.5483551889
260	0.5481006775
261	0.5477834237
262	0.5474960132
263	0.5472687766
264	0.5469744591
265	0.5467645966
266	0.5465214515
267	0.5462133671
268	0.5459223842
269	0.5457294028
270	0.5454516554
271	0.5451426257
272	0.5448858012
273	0.5446114885
274	0.544306549
275	0.5439253339
276	0.5435713469
277	0.5433231637
278	0.54312264
279	0.5429210139
280	0.542621887
281	0.5423218112
282	0.5421083841
283	0.5418243853
284	0.5415360666
285	0.541345724
286	0.5410353247
287	0.5407907002
288	0.5404972575
289	0.5402481071
290	0.5400939616
291	0.5397593781
292	0.5395597583
293	0.5392413822
294	0.5390127687
295	0.5388002379
296	0.5385768874
297	0.5383350001
298	0.5380605834
299	0.5378097074
300	0.5375498955
301	0.5372664707
302	0.5369475432
303	0.5367155171
304	0.5364316736
305	0.5362168327
306	0.5359675492
307	0.535626841
308	0.5352860521
309	0.5350725847
310	0.5347639759
311	0.5344968717
312	0.534258006
313	0.5339682501
314	0.5337972768
315	0.5334983682
316	0.5331884476
317	0.5329286374
318	0.5326451014
319	0.5324747111
320	0.5321827384
321	0.5319772173
322	0.5317260096
323	0.5314385644
324	0.5311848487
325	0.5309247474
326	0.5305828124
327	0.5303270916
328	0.5300752888
329	0.5298763407
330	0.5295981533
331	0.5293516385
332	0.529069431
333	0.5288244044
334	0.5285878383
335	0.5282978135
336	0.528073987
337	0.5277739491
338	0.5275561148
339	0.5273354856
340	0.5270477444
341	0.5268086024
342	0.5265349713
343	0.5263295711
344	0.5260479279
345	0.5257358115
346	0.5254647306
347	0.5251020495
348	0.5247889446
349	0.5245999336
350	0.5244228203
351	0.524086791
352	0.5238534946
353	0.5236759765
354	0.5234248038
355	0.5232125156
356	0.5229387042
357	0.5227017404
358	0.5224223206
359	0.522225085
360	0.52200157
361	0.5217871237
362	0.5215483087
363	0.5213397275
364	0.5209979817
365	0.5207323798
366	0.5204616513
367	0.5202665992
368	0.5200050298
369	0.5198435461
370	0.519545017
371	0.5192300961
372	0.519016365
373	0.5187950852
374	0.518511778
375	0.5182722493
376	0.5180930531
377	0.5178058543
378	0.5175175552
379	0.5172083958
380	0.5169975338
381	0.5167459477
382	0.5165216355
383	0.5163049295
384	0.5160481852
385	0.5157566562
386	0.5154863743
387	0.5152070027
388	0.5150610822
389	0.5148530591
390	0.5145870232
391	0.5143895859
392	0.5142154011
393	0.5140332207
394	0.513782469
395	0.5136124791
396	0.5134565454
397	0.5132425624
398	0.5130456501
399	0.512755574
400	0.5124377114
401	0.5121816053
402	0.5120098964
403	0.5117433985
404	0.5115700836
405	0.511405662
406	0.511156525
407	0.5108747
408	0.5106762285
409	0.5104554724
410	0.5102477251
411	0.5099668854
412	0.5096404824
413	0.5094283913
414	0.5092433819
415	0.5090541814
416	0.5088293387
417	0.5086323394
418	0.5084036006
419	0.5081804408
420	0.5079438679
421	0.5076901353
422	0.5075198565
423	0.5073235786
424	0.5071142491
425	0.5069158686
426	0.5066346619
427	0.5064107857
428	0.5062317563
429	0.5060792083
430	0.5058394795
431	0.5055721144
432	0.5053889763
433	0.5051828043
434	0.5049830604
435	0.5047801946
