R_fighter,B_fighter,date,Winner,target,weight_class,R_age,B_age,R_fights_since_finish,R_win_rate_l5_vs_career,R_finish_rate_trend,R_longest_lose_streak_ever,R_comeback_flag,R_avg_fights_between_losses,B_fights_since_finish,B_win_rate_l5_vs_career,B_finish_rate_trend,B_longest_lose_streak_ever,B_comeback_flag,B_avg_fights_between_losses,fights_since_finish_dif,win_rate_l5_vs_career_dif,finish_rate_trend_dif,longest_lose_streak_ever_dif,comeback_flag_dif,avg_fights_between_losses_dif,R_cum_fights,B_cum_fights
Nordine Taleb,Muslim Salikhov,2019-09-07,Blue,0,Welterweight,38,35,3.0,-0.11428571428571432,-0.1333333333333333,2.0,0.0,3.0,0.0,-0.07499999999999996,-0.012499999999999956,1.0,0.0,3.0,3.0,-0.03928571428571437,-0.12083333333333335,1.0,0.0,0.0,21,16
Omari Akhmedov,Zak Cummings,2019-09-07,Red,1,Middleweight,31,35,6.0,-0.18260869565217397,-0.5217391304347826,2.0,1.0,3.0,0.0,0.006896551724137945,0.01379310344827589,2.0,0.0,3.0,6.0,-0.1895052473763119,-0.5355322338830585,0.0,1.0,0.0,23,29
Joanne Calderwood,Andrea Lee,2019-09-07,Red,1,Women's Flyweight,33,30,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,3.0,0.15384615384615385,-0.26153846153846155,1.0,0.0,3.0,-1.0,-0.2205128205128205,0.1948717948717949,1.0,0.0,0.0,6,13
Ottman Azaitar,Teemu Packalen,2019-09-07,Red,1,Lightweight,29,32,0.0,0.0,-0.10909090909090902,0.0,0.0,3.0,1.0,-0.20000000000000007,-0.20000000000000007,1.0,0.0,3.0,-1.0,0.20000000000000007,0.09090909090909105,-1.0,0.0,0.0,11,10
Michel Pereira,Tristan Connelly,2019-09-14,Blue,0,Welterweight,25,33,0.0,-0.07647058823529418,0.12941176470588234,3.0,1.0,3.0,0.0,0.11578947368421055,0.11578947368421055,2.0,0.0,3.0,0.0,-0.19226006191950473,0.013622291021671784,1.0,1.0,0.0,34,19
Uriah Hall,Antonio Carlos Junior,2019-09-14,Red,1,Middleweight,35,29,0.0,-0.20869565217391306,-0.12173913043478257,3.0,1.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,-2.0,-0.1420289855072464,-0.05507246376811592,1.0,1.0,0.0,23,6
Donald Cerrone,Justin Gaethje,2019-09-14,Blue,0,Lightweight,36,30,2.0,-0.13469387755102047,-0.15102040816326523,3.0,1.0,3.0,0.0,-0.3090909090909091,-0.21818181818181825,2.0,1.0,3.0,2.0,0.17439703153988861,0.06716141001855302,1.0,0.0,0.0,49,22
Glover Teixeira,Nikita Krylov,2019-09-14,Red,1,Light Heavyweight,39,27,0.0,-0.21081081081081088,-0.10270270270270276,2.0,0.0,3.0,0.0,0.005882352941176561,0.005882352941176561,2.0,0.0,3.0,0.0,-0.21669316375198744,-0.10858505564387932,0.0,0.0,0.0,37,34
Misha Cirkunov,Jimmy Crute,2019-09-14,Red,1,Light Heavyweight,32,23,1.0,-0.33684210526315783,-0.231578947368421,2.0,1.0,3.0,0.0,0.0,-0.09999999999999998,0.0,0.0,3.0,1.0,-0.33684210526315783,-0.13157894736842102,2.0,1.0,0.0,19,10
Marcin Tybura,Augusto Sakai,2019-09-14,Blue,0,Heavyweight,33,28,5.0,-0.3391304347826086,-0.5652173913043478,2.0,1.0,3.0,1.0,-0.06666666666666665,-0.06666666666666665,2.0,1.0,3.0,4.0,-0.272463768115942,-0.49855072463768113,0.0,0.0,0.0,23,15
Cole Smith,Miles Johns,2019-09-14,Blue,0,Bantamweight,30,25,1.0,0.0,-0.11428571428571432,0.0,0.0,3.0,2.0,0.0,-0.2444444444444444,0.0,0.0,3.0,-1.0,0.0,0.13015873015873008,0.0,0.0,0.0,7,9
Chas Skelly,Jordan Griffin,2019-09-14,Red,1,Featherweight,34,29,2.0,-0.4095238095238095,-0.21904761904761905,2.0,0.0,3.0,1.0,0.0608695652173914,0.23478260869565226,2.0,0.0,3.0,1.0,-0.4703933747412009,-0.4538302277432713,0.0,0.0,0.0,21,23
Louis Smolka,Ryan MacDonald,2019-09-14,Red,1,Bantamweight,28,26,1.0,0.08571428571428574,0.18095238095238098,4.0,1.0,3.0,1.0,-0.10909090909090902,0.054545454545454564,1.0,0.0,3.0,0.0,0.19480519480519476,0.1264069264069264,3.0,1.0,0.0,21,11
Kyle Prepolec,Austin Hubbard,2019-09-14,Blue,0,Lightweight,30,27,2.0,-0.09999999999999998,-0.15000000000000002,2.0,0.0,3.0,1.0,-0.1692307692307693,-0.26153846153846155,1.0,0.0,3.0,1.0,0.06923076923076932,0.11153846153846153,1.0,0.0,0.0,20,13
Brad Katona,Hunter Azure,2019-09-14,Blue,0,Bantamweight,27,27,4.0,-0.0888888888888888,-0.2444444444444444,1.0,0.0,3.0,2.0,0.0,-0.17142857142857137,0.0,0.0,3.0,2.0,-0.0888888888888888,-0.07301587301587303,1.0,0.0,0.0,9,7
Jose Quinonez,Carlos Huachin,2019-09-21,Red,1,Bantamweight,29,23,4.0,0.07272727272727275,-0.16363636363636364,2.0,1.0,3.0,1.0,-0.025000000000000022,-0.025000000000000022,3.0,0.0,3.0,3.0,0.09772727272727277,-0.1386363636363636,-1.0,1.0,0.0,11,16
Carla Esparza,Alexa Grasso,2019-09-21,Red,1,Women's Strawweight,31,26,8.0,-0.09999999999999998,-0.35,2.0,0.0,3.0,7.0,-0.24615384615384617,-0.3076923076923077,1.0,0.0,3.0,1.0,0.1461538461538462,-0.04230769230769227,1.0,0.0,0.0,20,13
Irene Aldana,Vanessa Melo,2019-09-21,Red,1,Women's Bantamweight,31,31,1.0,-0.06666666666666665,-0.3333333333333333,2.0,1.0,3.0,7.0,0.33333333333333337,-0.13333333333333333,2.0,1.0,3.0,-6.0,-0.4,-0.19999999999999998,0.0,0.0,0.0,15,15
Martin Bravo,Steven Peterson,2019-09-21,Blue,0,Featherweight,26,29,2.0,-0.24615384615384617,-0.29230769230769227,2.0,0.0,3.0,4.0,-0.25384615384615383,-0.26153846153846155,2.0,0.0,3.0,-2.0,0.007692307692307665,-0.030769230769230715,0.0,0.0,0.0,13,26
Marco Polo Reyes,Kyle Nelson,2019-09-21,Blue,0,Featherweight,34,28,2.0,-0.29999999999999993,-0.45,3.0,1.0,3.0,2.0,-0.20000000000000007,0.06666666666666665,2.0,0.0,3.0,0.0,-0.09999999999999987,-0.5166666666666666,1.0,1.0,0.0,20,15
Vinicius Moreira,Paul Craig,2019-09-21,Blue,0,Light Heavyweight,30,31,2.0,0.0,0.0,2.0,0.0,3.0,1.0,-0.2875,-0.2875,3.0,1.0,3.0,1.0,0.2875,0.2875,-1.0,-1.0,0.0,3,16
Sijara Eubanks,Bethe Correia,2019-09-21,Blue,0,Women's Bantamweight,34,36,4.0,0.02857142857142858,-0.08571428571428569,1.0,0.0,3.0,6.0,-0.4666666666666666,-0.13333333333333333,3.0,1.0,3.0,-2.0,0.4952380952380952,0.047619047619047644,-2.0,-1.0,0.0,7,15
Caludio Puelles,Marcos Mariano,2019-09-21,Red,1,Lightweight,23,32,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,1.0,0.054545454545454564,0.32727272727272727,2.0,1.0,3.0,1.0,-0.12121212121212122,-0.3939393939393939,0.0,-1.0,0.0,6,11
Ariane Carnelossi,Angela Hill,2019-09-21,Blue,0,Women's Strawweight,26,34,0.0,0.07692307692307687,-0.09230769230769231,1.0,0.0,3.0,11.0,-0.32941176470588235,-0.17647058823529413,2.0,1.0,3.0,-11.0,0.4063348416289592,0.08416289592760182,-1.0,-1.0,0.0,13,17
Sergio Pettis,Tyson Nam,2019-09-21,Red,1,Flyweight,26,36,13.0,-0.3727272727272727,-0.2727272727272727,2.0,0.0,3.0,1.0,0.15714285714285714,0.20714285714285713,4.0,1.0,3.0,12.0,-0.5298701298701298,-0.47987012987012984,-2.0,-1.0,0.0,22,28
Ion Cutelaba,Khalil Rountree Jr.,2019-09-28,Red,1,Light Heavyweight,25,29,1.0,-0.13684210526315788,-0.28421052631578947,2.0,0.0,3.0,2.0,0.09999999999999998,0.025000000000000022,2.0,1.0,3.0,-1.0,-0.23684210526315785,-0.3092105263157895,0.0,-1.0,0.0,19,8
Macy Chiasson,Lina Lansberg,2019-09-28,Blue,0,Women's Bantamweight,28,37,0.0,0.0,0.0,0.0,0.0,3.0,6.0,-0.09230769230769231,-0.3076923076923077,1.0,0.0,3.0,-6.0,0.09230769230769231,0.3076923076923077,-1.0,0.0,0.0,5,13
Michal Oleksiejczuk,Ovince Saint Preux,2019-09-28,Blue,0,Light Heavyweight,24,36,1.0,-0.33684210526315783,-0.17894736842105263,2.0,1.0,3.0,2.0,-0.25384615384615383,-0.06153846153846154,3.0,1.0,3.0,-1.0,-0.082995951417004,-0.11740890688259109,-1.0,0.0,0.0,19,26
Mark Madsen,Danilo Belluardo,2019-09-28,Red,1,Lightweight,35,25,0.0,0.0,-0.22499999999999998,0.0,0.0,3.0,2.0,0.050000000000000044,0.03749999999999998,2.0,1.0,3.0,-2.0,-0.050000000000000044,-0.26249999999999996,-2.0,-1.0,0.0,8,16
Gunnar Nelson,Gilbert Burns,2019-09-28,Blue,0,Welterweight,31,33,1.0,-0.17272727272727273,-0.12727272727272732,1.0,0.0,3.0,2.0,-0.04999999999999993,-0.45,1.0,0.0,3.0,-1.0,-0.1227272727272728,0.3227272727272727,0.0,0.0,0.0,22,20
Nicolas Dalby,Alex Oliveira,2019-09-28,Red,1,Welterweight,34,31,1.0,-0.17272727272727273,0.14545454545454545,4.0,1.0,3.0,2.0,-0.2666666666666666,-0.16666666666666663,2.0,0.0,3.0,-1.0,0.09393939393939388,0.3121212121212121,2.0,1.0,0.0,22,30
Alen Amedovski,John Phillips,2019-09-28,Blue,0,Middleweight,31,34,1.0,-0.0888888888888888,-0.0888888888888888,1.0,0.0,3.0,3.0,-0.2774193548387096,-0.2774193548387096,3.0,0.0,3.0,-2.0,0.1885304659498208,0.1885304659498208,-2.0,0.0,0.0,9,31
Alessio Di Chirico,Makhmud Muradov,2019-09-28,Blue,0,Middleweight,29,29,2.0,-0.20000000000000007,-0.4666666666666666,1.0,0.0,3.0,0.0,0.2142857142857143,0.15714285714285714,2.0,0.0,3.0,2.0,-0.41428571428571437,-0.6238095238095238,-1.0,0.0,0.0,15,28
Brandon Davis,Giga Chikadze,2019-09-28,Blue,0,Featherweight,29,31,1.0,-0.18823529411764706,-0.15294117647058825,2.0,1.0,3.0,0.0,0.022222222222222254,0.022222222222222254,1.0,0.0,3.0,1.0,-0.2104575163398693,-0.1751633986928105,1.0,1.0,0.0,17,9
Marc Diakiese,Lando Vannata,2019-09-28,Red,1,Lightweight,26,27,5.0,-0.4235294117647058,-0.4117647058823529,3.0,1.0,3.0,0.0,-0.425,-0.3625,5.0,0.0,3.0,5.0,0.001470588235294168,-0.04926470588235293,-2.0,1.0,0.0,17,16
Jack Shore,Nohelin Hernandez,2019-09-28,Red,1,Bantamweight,24,25,0.0,0.0,-0.10909090909090902,0.0,0.0,3.0,9.0,0.03076923076923077,-0.23076923076923078,1.0,0.0,3.0,-9.0,-0.03076923076923077,0.12167832167832177,-1.0,0.0,0.0,11,13
Siyar Bahadurzada,Ismail Naurdiev,2019-09-28,Blue,0,Welterweight,35,23,1.0,-0.15000000000000002,-0.025000000000000022,3.0,1.0,3.0,2.0,-0.2571428571428571,-0.36190476190476184,1.0,0.0,3.0,-1.0,0.1071428571428571,0.3369047619047618,2.0,1.0,0.0,32,21
Jack Hermansson,Jared Cannonier,2019-09-28,Blue,0,Middleweight,31,35,2.0,0.15384615384615385,-0.05384615384615388,2.0,0.0,3.0,0.0,-0.15000000000000002,-0.025000000000000022,2.0,1.0,3.0,2.0,0.3038461538461539,-0.028846153846153855,0.0,-1.0,0.0,26,16
Tai Tuivasa,Serghei Spivac,2019-10-05,Blue,0,Heavyweight,26,24,3.0,-0.21818181818181825,-0.32727272727272727,2.0,0.0,3.0,1.0,-0.09999999999999998,-0.09999999999999998,1.0,0.0,3.0,2.0,-0.11818181818181828,-0.2272727272727273,1.0,0.0,0.0,11,10
Nadia Kassem,Ji Yeon Kim,2019-10-05,Blue,0,Women's Flyweight,23,29,2.0,-0.033333333333333326,-0.06666666666666665,1.0,0.0,3.0,4.0,-0.06666666666666665,-0.1333333333333333,2.0,0.0,3.0,-2.0,0.033333333333333326,0.06666666666666665,-1.0,0.0,0.0,6,12
Robert Whittaker,Israel Adesanya,2019-10-05,Blue,0,Middleweight,28,30,2.0,0.15384615384615385,0.023076923076923106,2.0,0.0,3.0,2.0,0.0,-0.5647058823529412,0.0,0.0,3.0,0.0,0.15384615384615385,0.5877828054298643,2.0,0.0,0.0,26,17
Al Iaquinta,Dan Hooker,2019-10-05,Blue,0,Lightweight,32,29,3.0,-0.09999999999999998,-0.2,2.0,0.0,3.0,0.0,0.10769230769230775,0.1461538461538462,2.0,0.0,3.0,3.0,-0.20769230769230773,-0.3461538461538462,0.0,0.0,0.0,20,26
Justin Tafa,Yorgan De Castro,2019-10-05,Blue,0,Heavyweight,25,32,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Brad Riddell,Jamie Mullarkey,2019-10-05,Red,1,Lightweight,28,25,1.0,-0.05714285714285705,-0.11428571428571432,1.0,0.0,3.0,0.0,-0.05714285714285705,0.014285714285714346,2.0,1.0,3.0,1.0,0.0,-0.12857142857142867,-1.0,-1.0,0.0,7,14
Callan Potter,Maki Pitolo,2019-10-05,Red,1,Welterweight,35,28,3.0,-0.08000000000000007,-0.24,2.0,0.0,3.0,0.0,-0.15000000000000002,0.03749999999999998,2.0,1.0,3.0,3.0,0.06999999999999995,-0.27749999999999997,0.0,-1.0,0.0,25,16
Megan Anderson,Zarah Fairn,2019-10-05,Red,1,Women's Featherweight,29,32,1.0,-0.06666666666666665,0.016666666666666607,1.0,0.0,3.0,0.0,0.050000000000000044,0.17500000000000004,1.0,0.0,3.0,1.0,-0.1166666666666667,-0.15833333333333344,0.0,0.0,0.0,12,8
Khalid Taha,Bruno Silva,2019-10-05,Red,1,Bantamweight,27,29,0.0,-0.2666666666666667,-0.1333333333333333,1.0,0.0,3.0,0.0,0.050000000000000044,-0.025000000000000022,2.0,0.0,3.0,0.0,-0.31666666666666676,-0.10833333333333328,-1.0,0.0,0.0,15,24
Jake Matthews,Rostem Akman,2019-10-05,Red,1,Welterweight,25,27,1.0,0.010526315789473717,-0.37894736842105264,2.0,1.0,3.0,1.0,-0.05714285714285705,-0.05714285714285705,1.0,0.0,3.0,0.0,0.06766917293233077,-0.3218045112781956,1.0,1.0,0.0,19,7
Luke Jumeau,Dhiego Lima,2019-10-05,Blue,0,Welterweight,31,30,3.0,0.03529411764705892,-0.12941176470588234,2.0,1.0,3.0,1.0,-0.2666666666666666,-0.18095238095238092,3.0,1.0,3.0,2.0,0.3019607843137255,0.05154061624649858,-1.0,0.0,0.0,17,21
Eryk Anders,Gerald Meerschaert,2019-10-12,Red,1,Middleweight,32,31,0.0,-0.5058823529411764,-0.32941176470588235,4.0,0.0,3.0,0.0,-0.13809523809523816,-0.09047619047619049,2.0,0.0,3.0,0.0,-0.3677871148459383,-0.23893557422969186,2.0,0.0,0.0,17,42
Joanna Jedrzejczyk,Michelle Waterson,2019-10-12,Red,1,Women's Strawweight,32,33,8.0,-0.43333333333333335,-0.2777777777777778,2.0,1.0,3.0,5.0,-0.13913043478260867,-0.5217391304347826,2.0,1.0,3.0,3.0,-0.2942028985507247,0.2439613526570048,0.0,0.0,0.0,18,23
Cub Swanson,Kron Gracie,2019-10-12,Red,1,Featherweight,35,31,13.0,-0.6842105263157895,-0.39473684210526316,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,-0.6842105263157895,-0.39473684210526316,5.0,0.0,0.0,38,5
Niko Price,James Vick,2019-10-12,Red,1,Welterweight,30,32,1.0,-0.16470588235294115,-0.10588235294117654,1.0,0.0,3.0,4.0,-0.3647058823529411,-0.27058823529411763,3.0,0.0,3.0,-3.0,0.19999999999999996,0.1647058823529411,-2.0,0.0,0.0,17,17
Mackenzie Dern,Amanda Ribas,2019-10-12,Blue,0,Women's Strawweight,26,26,0.0,0.0,0.17500000000000004,0.0,0.0,3.0,0.0,-0.05714285714285705,-0.11428571428571432,1.0,0.0,3.0,0.0,0.05714285714285705,0.28928571428571437,-1.0,0.0,0.0,8,7
Matt Frevola,Luis Pena,2019-10-12,Red,1,Lightweight,29,26,3.0,-0.20000000000000007,-0.09999999999999998,2.0,0.0,3.0,0.0,-0.07499999999999996,-0.15000000000000002,1.0,0.0,3.0,3.0,-0.1250000000000001,0.050000000000000044,1.0,0.0,0.0,10,8
Ryan Spann,Devin Clark,2019-10-12,Red,1,Light Heavyweight,28,29,0.0,0.2272727272727273,0.11818181818181828,2.0,1.0,3.0,7.0,-0.1692307692307693,-0.3076923076923077,1.0,0.0,3.0,-7.0,0.3965034965034966,0.425874125874126,1.0,1.0,0.0,22,13
Max Griffin,Alex Morono,2019-10-12,Blue,0,Welterweight,33,29,5.0,-0.3142857142857143,-0.42857142857142855,2.0,0.0,3.0,0.0,0.0608695652173914,-0.07826086956521738,2.0,1.0,3.0,5.0,-0.3751552795031057,-0.35031055900621116,0.0,-1.0,0.0,21,23
Marlon Vera,Andre Ewell,2019-10-12,Red,1,Bantamweight,26,31,0.0,0.26086956521739135,0.34782608695652173,2.0,1.0,3.0,3.0,0.050000000000000044,-0.15000000000000002,1.0,0.0,3.0,-3.0,0.2108695652173913,0.49782608695652175,1.0,1.0,0.0,23,20
Miguel Baeza,Hector Aldana,2019-10-12,Red,1,Welterweight,27,31,1.0,0.0,-0.11428571428571432,0.0,0.0,3.0,2.0,-0.06666666666666665,-0.09999999999999998,2.0,0.0,3.0,-1.0,0.06666666666666665,-0.014285714285714346,-2.0,0.0,0.0,7,6
Marvin Vettori,Andrew Sanchez,2019-10-12,Red,1,Middleweight,26,31,6.0,-0.29999999999999993,-0.55,2.0,1.0,3.0,6.0,-0.1333333333333333,-0.4666666666666667,2.0,1.0,3.0,0.0,-0.16666666666666663,-0.08333333333333337,0.0,0.0,0.0,20,15
JJ Aldrich,Lauren Mueller,2019-10-12,Red,1,Women's Flyweight,27,27,5.0,0.0,0.0,1.0,0.0,3.0,5.0,-0.11428571428571432,-0.14285714285714285,2.0,0.0,3.0,0.0,0.11428571428571432,0.14285714285714285,-1.0,0.0,0.0,5,7
Mike Davis,Thomas Gifford,2019-10-12,Red,1,Lightweight,27,27,1.0,-0.1777777777777778,-0.1777777777777778,1.0,0.0,3.0,2.0,-0.029629629629629672,-0.19259259259259254,3.0,0.0,3.0,-1.0,-0.14814814814814814,0.014814814814814725,-2.0,0.0,0.0,9,27
Deiveson Figueiredo,Tim Elliott,2019-10-12,Red,1,Flyweight,31,32,2.0,-0.14117647058823524,-0.3647058823529411,1.0,0.0,3.0,0.0,-0.025000000000000022,-0.175,3.0,1.0,3.0,2.0,-0.11617647058823521,-0.1897058823529411,-2.0,-1.0,0.0,17,24
Maycee Barber,Gillian Robertson,2019-10-18,Red,1,Women's Flyweight,21,24,0.0,0.0,0.11111111111111116,0.0,0.0,3.0,0.0,0.10000000000000009,0.20000000000000007,1.0,0.0,3.0,0.0,-0.10000000000000009,-0.0888888888888889,-1.0,0.0,0.0,9,10
Deron Winn,Darren Stewart,2019-10-18,Blue,0,Middleweight,30,28,2.0,0.0,-0.06666666666666665,0.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,4.0,1.0,3.0,0.0,0.06666666666666665,0.0,-4.0,-1.0,0.0,6,15
Dominick Reyes,Chris Weidman,2019-10-18,Red,1,Light Heavyweight,29,35,3.0,0.0,-0.2666666666666666,0.0,0.0,3.0,2.0,-0.5368421052631578,-0.32631578947368417,3.0,1.0,3.0,1.0,0.5368421052631578,0.05964912280701756,-3.0,-1.0,0.0,12,19
Joe Lauzon,Jonathan Pearce,2019-10-18,Red,1,Lightweight,35,27,5.0,-0.4428571428571429,-0.5952380952380952,3.0,0.0,3.0,0.0,0.25,0.33333333333333337,3.0,1.0,3.0,5.0,-0.6928571428571428,-0.9285714285714286,0.0,-1.0,0.0,42,12
Charles Rosa,Manny Bermudez,2019-10-18,Red,1,Featherweight,33,25,3.0,-0.3857142857142857,-0.5142857142857142,1.0,0.0,3.0,1.0,-0.1333333333333333,0.0,1.0,0.0,3.0,2.0,-0.2523809523809524,-0.5142857142857142,0.0,0.0,0.0,14,15
Yair Rodriguez,Jeremy Stephens,2019-10-18,Red,1,Featherweight,27,33,1.0,-0.25,0.0,1.0,0.0,3.0,3.0,-0.2326530612244898,-0.06938775510204082,3.0,1.0,3.0,-2.0,-0.01734693877551019,0.06938775510204082,-2.0,-1.0,0.0,20,49
Kyle Bochniak,Sean Woodson,2019-10-18,Blue,0,Featherweight,32,27,6.0,-0.2666666666666666,-0.3333333333333333,2.0,0.0,3.0,0.0,0.0,-0.09999999999999998,0.0,0.0,3.0,6.0,-0.2666666666666666,-0.23333333333333334,2.0,0.0,0.0,12,6
Court McGee,Sean Brady,2019-10-18,Blue,0,Welterweight,34,26,15.0,-0.2896551724137931,-0.3448275862068966,3.0,1.0,3.0,0.0,0.0,0.09999999999999998,0.0,0.0,3.0,15.0,-0.2896551724137931,-0.44482758620689655,3.0,1.0,0.0,29,10
Brendan Allen,Kevin Holland,2019-10-18,Red,1,Middleweight,23,26,0.0,0.0,-0.1333333333333333,1.0,0.0,3.0,2.0,-0.00952380952380949,-0.41904761904761906,2.0,0.0,3.0,-2.0,0.00952380952380949,0.28571428571428575,-1.0,0.0,0.0,15,21
Daniel Spitz,Tanner Boser,2019-10-18,Blue,0,Heavyweight,29,28,1.0,-0.15000000000000002,-0.22499999999999998,1.0,0.0,3.0,0.0,-0.12727272727272732,-0.2545454545454545,2.0,1.0,3.0,1.0,-0.022727272727272707,0.02954545454545454,-1.0,-1.0,0.0,8,22
Randy Costa,Boston Salmon,2019-10-18,Red,1,Bantamweight,25,28,1.0,0.0,0.0,1.0,0.0,3.0,3.0,-0.15000000000000002,-0.3,1.0,0.0,3.0,-2.0,0.15000000000000002,0.3,0.0,0.0,0.0,5,8
Molly McCann,Diana Belbita,2019-10-18,Red,1,Women's Flyweight,29,23,4.0,-0.033333333333333326,-0.1333333333333333,1.0,0.0,3.0,0.0,0.03529411764705892,0.21176470588235297,2.0,0.0,3.0,4.0,-0.06862745098039225,-0.34509803921568627,-1.0,0.0,0.0,12,17
Demian Maia,Ben Askren,2019-10-26,Red,1,Welterweight,41,35,1.0,-0.35,-0.2444444444444444,3.0,1.0,3.0,1.0,-0.10476190476190472,0.22857142857142865,1.0,0.0,3.0,0.0,-0.24523809523809526,-0.47301587301587306,2.0,1.0,0.0,36,21
Michael Johnson,Stevie Ray,2019-10-26,Blue,0,Lightweight,33,29,7.0,-0.1588235294117647,-0.29411764705882354,3.0,1.0,3.0,8.0,-0.19999999999999996,-0.2,2.0,1.0,3.0,-1.0,0.04117647058823526,-0.09411764705882353,1.0,0.0,0.0,34,10
Frank Camacho,Beneil Dariush,2019-10-26,Blue,0,Lightweight,30,30,0.0,-0.35862068965517235,-0.4551724137931034,2.0,0.0,3.0,0.0,-0.36190476190476184,-0.27619047619047615,3.0,1.0,3.0,0.0,0.003284072249589487,-0.17898193760262726,-1.0,-1.0,0.0,29,21
Ciryl Gane,Don'tale Mayes,2019-10-26,Red,1,Heavyweight,29,27,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.022222222222222254,0.0444444444444444,1.0,0.0,3.0,0.0,-0.022222222222222254,-0.0444444444444444,-1.0,0.0,0.0,4,9
Muslim Salikhov,Laureano Staropoli,2019-10-26,Red,1,Welterweight,35,26,0.0,-0.08235294117647052,-0.0235294117647058,1.0,0.0,3.0,2.0,0.09999999999999998,-0.09999999999999998,1.0,0.0,3.0,-2.0,-0.1823529411764705,0.07647058823529418,0.0,0.0,0.0,17,10
Randa Markos,Ashley Yoder,2019-10-26,Red,1,Women's Strawweight,34,32,1.0,-0.12941176470588234,-0.03529411764705881,2.0,1.0,3.0,6.0,-0.06666666666666665,-0.3333333333333333,3.0,1.0,3.0,-5.0,-0.06274509803921569,0.2980392156862745,-1.0,0.0,0.0,17,12
Alex White,Rafael Fiziev,2019-10-26,Blue,0,Lightweight,31,26,3.0,-0.3222222222222222,-0.35555555555555557,2.0,1.0,3.0,1.0,-0.05714285714285705,-0.05714285714285705,1.0,0.0,3.0,2.0,-0.26507936507936514,-0.2984126984126985,1.0,1.0,0.0,18,7
Enrique Barzola,Movsar Evloev,2019-10-26,Blue,0,Featherweight,30,25,8.0,0.03809523809523818,-0.38095238095238093,1.0,0.0,3.0,2.0,0.0,-0.2666666666666666,0.0,0.0,3.0,6.0,0.03809523809523818,-0.11428571428571432,1.0,0.0,0.0,21,12
Maurice Greene,Sergei Pavlovich,2019-10-26,Blue,0,Heavyweight,33,27,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-0.12857142857142856,-0.3142857142857143,1.0,0.0,3.0,0.0,0.12857142857142856,0.3142857142857143,0.0,0.0,0.0,10,14
Loma Lookboonmee,Alexandra Albu,2019-10-26,Red,1,Women's Strawweight,23,29,0.0,-0.11428571428571432,-0.11428571428571432,2.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,-2.0,-0.04761904761904767,-0.04761904761904767,0.0,0.0,0.0,7,6
Raphael Pessoa Nunes,Jeff Hughes,2019-10-26,Red,1,Heavyweight,30,31,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,2.0,-0.1692307692307693,-0.18461538461538463,2.0,0.0,3.0,0.0,0.10256410256410264,0.11794871794871797,0.0,0.0,0.0,6,13
Lyman Good,Chance Rencountre,2019-11-02,Red,1,Welterweight,34,32,1.0,-0.1692307692307693,0.09999999999999998,1.0,0.0,3.0,1.0,-0.0235294117647058,0.07058823529411762,1.0,0.0,3.0,0.0,-0.1457013574660635,0.02941176470588236,0.0,0.0,0.0,26,17
Kelvin Gastelum,Darren Till,2019-11-02,Blue,0,Middleweight,28,27,3.0,-0.17272727272727273,-0.3,2.0,1.0,3.0,3.0,-0.25,-0.39999999999999997,2.0,0.0,3.0,0.0,0.07727272727272727,0.09999999999999998,0.0,1.0,0.0,22,20
Stephen Thompson,Vicente Luque,2019-11-02,Red,1,Welterweight,36,28,6.0,-0.55,-0.45,2.0,1.0,3.0,1.0,0.28,0.16000000000000003,3.0,0.0,3.0,5.0,-0.8300000000000001,-0.6100000000000001,-1.0,1.0,0.0,20,25
Derrick Lewis,Blagoy Ivanov,2019-11-02,Red,1,Heavyweight,34,33,2.0,-0.12413793103448278,-0.2551724137931034,2.0,0.0,3.0,4.0,-0.05714285714285705,-0.3714285714285714,1.0,0.0,3.0,-2.0,-0.06699507389162573,0.11625615763546798,1.0,0.0,0.0,29,21
Kevin Lee,Gregor Gillespie,2019-11-02,Red,1,Lightweight,27,23,2.0,-0.3727272727272727,-0.05454545454545451,2.0,0.0,3.0,0.0,0.0,0.15384615384615385,0.0,0.0,3.0,2.0,-0.3727272727272727,-0.20839160839160836,2.0,0.0,0.0,22,13
Jorge Masvidal,Nate Diaz,2019-11-02,Red,1,Welterweight,35,34,0.0,-0.12916666666666665,0.2458333333333333,2.0,1.0,3.0,2.0,-0.04516129032258065,-0.3161290322580645,2.0,1.0,3.0,-2.0,-0.084005376344086,0.5619623655913978,0.0,0.0,0.0,48,31
