fighter,current_elo,last_fight_date,total_fights
Michael Bisping,1610.653050711361,2017-11-25,18
Dan Miller,1420.3376653244409,2015-07-12,8
Todd Duffee,1503.9478263052195,2015-07-15,4
Mike Russow,1506.8581142390897,2013-01-26,5
Rogerio Nogueira,1484.4929849673695,2020-07-25,12
Diego Sanchez,1549.7331628755323,2020-09-26,19
John Hathaway,1542.9589330645426,2014-03-01,6
Amir Sadollah,1418.3236125970254,2014-09-20,7
Dong Hyun Kim,1629.265330427825,2017-06-17,14
Efrain Escudero,1439.9221461090694,2016-04-23,9
Dan Lauzon,1452.0,2010-05-29,1
Melvin Guillard,1527.6913093525534,2014-03-08,11
Waylon Lowe,1486.3547504980247,2011-03-26,4
Luiz Cane,1427.1865800520652,2012-10-13,4
Cyrille Diabate,1440.8342780451233,2014-03-08,8
Aaron Riley,1449.7144643574284,2013-07-27,3
Joe Brammer,1452.0,2010-05-29,1
Jesse Forbes,1440.0,2010-05-29,1
Ryan Jensen,1429.740158559383,2011-04-30,3
Tyson Griffin,1395.2009358117089,2011-10-29,5
Evan Dunham,1469.617069164088,2020-06-06,17
Carlos Condit,1520.1380872045806,2021-07-10,17
Rory MacDonald,1690.2362227262565,2016-06-18,12
Ben Rothwell,1526.0624101176938,2021-11-13,16
Gilbert Yvel,1414.5654696041572,2010-10-23,2
Paulo Thiago,1327.2169958008985,2014-09-13,9
Martin Kampmann,1549.1603613345726,2013-08-28,8
Mirko Cro Cop,1494.288125616097,2015-04-11,5
Pat Barry,1407.2227470306054,2013-12-06,9
Chuck Liddell,1440.0,2010-06-12,1
Rich Franklin,1479.861579939001,2012-11-10,4
Mac Danzig,1388.2698740346987,2013-12-14,7
Matt Wiman,1414.5843060415364,2020-12-05,10
David Loiseau,1429.740158559383,2010-06-12,1
Mike Pyle,1430.1128286903188,2018-03-03,16
Jesse Lennox,1440.0,2010-06-12,1
Ricardo Funch,1362.5170321557605,2012-06-22,3
Claude Patrick,1615.2010857989023,2011-12-10,4
James Wilks,1501.657202345508,2010-10-16,2
Peter Sobotta,1506.9214955094956,2020-07-25,9
Chris Leben,1388.710515411501,2013-12-28,8
Aaron Simpson,1516.2044393365056,2012-10-05,8
Spencer Fisher,1366.2366003654752,2012-06-22,5
Jamie Yager,1440.0,2010-06-19,1
Rich Attonito,1513.5945852561879,2011-12-10,5
John Gunderson,1493.4104263791678,2010-09-15,2
Mark Holst,1400.23696702604,2010-10-16,2
Brad Tavares,1446.8873995775575,2026-03-14,28
Seth Baczynski,1395.8714793353913,2015-04-11,11
Josh Bryant,1440.0,2010-06-19,1
Kyle Noke,1439.5324846758037,2016-11-26,12
Chris Camozzi,1460.274551112109,2017-05-28,19
James Hammortree,1452.0,2010-06-19,1
Keith Jardine,1452.0,2010-06-19,1
Matt Hamill,1477.931318768923,2013-10-09,6
James McSweeney,1390.259841440617,2010-10-16,2
Travis Browne,1496.210195144287,2017-07-08,16
Court McGee,1460.4344743552665,2025-06-14,24
Kris McCray,1365.4225086759445,2011-03-26,3
Chris Lytle,1565.3109220816216,2011-08-14,4
Forrest Petz,1405.0886452998502,2010-09-15,2
Yoshihiro Akiyama,1424.0332881451434,2015-11-28,6
Brock Lesnar,1438.9384406646552,2011-12-30,3
Goran Reljic,1407.3810076112177,2010-11-13,2
David Branch,1491.978637699994,2019-03-30,9
Krzysztof Soszynski,1475.4796550889716,2011-12-10,4
Stephan Bonnar,1615.8807926967652,2012-10-13,4
George Sotiropoulos,1389.9671627952243,2013-10-19,6
Chris Tuchscherer,1388.4885444400834,2011-02-26,2
Karlos Vemola,1408.2467105223677,2013-06-08,6
Seth Petruzelli,1383.207245654441,2010-11-13,2
Ricardo Romero,1429.540613089219,2011-09-24,3
Rob Kimmons,1426.4270899831483,2011-03-03,3
Steve Steinbeiss,1452.0,2010-08-01,1
Charles Oliveira,1983.433809359707,2026-03-07,36
Brian Stann,1495.5279024013878,2013-03-02,7
Mike Massenzio,1366.1204449205459,2012-05-05,5
Igor Pokrajac,1398.315434536796,2016-04-10,10
Jake Ellenberger,1395.2451762319986,2018-08-25,19
Thiago Alves,1406.374815040019,2019-12-07,15
Chael Sonnen,1545.1616250775503,2013-11-16,7
Dustin Hazelett,1387.197250483231,2010-12-11,2
Todd Brown,1400.771238590642,2011-03-03,2
Tim Boetsch,1534.2785371667665,2019-03-09,20
Christian Morecraft,1393.2321766036332,2012-01-20,4
Dennis Hallman,1600.824462529547,2011-12-10,4
Randy Couture,1473.2843726796914,2011-04-30,2
James Toney,1440.0,2010-08-28,1
Gray Maynard,1441.506943014169,2018-10-06,11
Joe Lauzon,1513.1094404309756,2019-10-18,20
Gabe Ruediger,1383.4987941541913,2011-02-05,2
Amilcar Alves,1405.706573272426,2011-01-22,2
Cole Miller,1421.028624393292,2016-12-17,12
Yves Edwards,1387.9458707774097,2014-11-22,10
Nate Marquardt,1456.1091216229784,2017-11-11,14
Rafael Natal,1485.2700245629374,2017-07-22,16
TJ Waldburger,1505.1812298039667,2014-02-22,8
David Mitchell,1415.8348522957615,2013-10-09,5
Kyle Kingsbury,1429.0757914228845,2014-07-26,7
Brian Foster,1586.5751067583278,2010-11-20,2
Ryan Bader,1765.0833640568476,2016-11-19,16
Matt Serra,1458.8252904265,2010-09-25,1
Sean Sherk,1539.716895406389,2010-09-25,1
CB Dollaway,1493.8905581304818,2018-09-15,14
Thiago Tavares,1565.6772557519635,2016-07-08,10
Pat Audinwood,1400.2078731524937,2010-12-11,2
Steve Lopez,1457.8440951356297,2010-09-25,1
Mark Hunt,1525.0048108474361,2018-12-01,16
Sean McCorkle,1420.9190665043307,2011-03-26,3
Paul Sass,1552.1875894911736,2013-02-16,5
Curt Warburton,1439.9862141274054,2011-06-26,3
Fabio Maldonado,1480.8226007976361,2015-11-07,11
Rob Broughton,1469.793528285049,2011-11-05,3
Vinicius Queiroz,1440.0,2010-10-16,1
Cain Velasquez,1599.694508901255,2019-02-17,9
Tito Ortiz,1369.896411391858,2012-07-07,5
Jake Shields,1543.2065095377045,2014-03-15,7
Paul Taylor,1516.7843104394196,2011-02-05,2
Dongi Yang,1527.5263349871093,2015-11-28,5
Carlos Eduardo Rocha,1473.5505915567285,2012-06-08,3
Alexandre Ferreira,1436.573698461822,2010-11-13,1
Pascal Krauss,1475.5083554710395,2013-08-31,4
Mark Scanlon,1452.0,2010-11-13,1
Maiquel Falcao,1562.676313114785,2010-11-20,1
Karo Parisyan,1447.1176547726477,2010-11-20,1
Mike Lullo,1400.2078731524937,2011-09-17,2
Edson Barboza,1515.5790717268108,2025-12-06,32
TJ O'Brien,1394.6826985515224,2011-08-14,2
Jonathan Brookins,1464.802831767589,2012-12-15,5
Michael Johnson,1546.6330368324027,2026-03-07,32
Nam Phan,1380.371823987306,2014-03-01,8
Leonard Garcia,1317.7103255918594,2013-04-27,6
Ian Loveland,1452.9621691160278,2011-08-27,3
Tyler Toner,1452.0,2010-12-04,1
Sako Chivitchian,1452.0,2010-12-04,1
Kyle Watson,1486.582814156935,2011-04-30,2
Will Campuzano,1361.4056115853577,2014-03-15,4
Nick Pace,1462.342797654492,2011-11-19,3
Fredson Paixao,1440.0,2010-12-04,1
Pablo Garza,1468.5757264113452,2013-04-06,6
Cody McKenzie,1434.6177847691208,2013-12-14,7
Aaron Wilkinson,1440.0,2010-12-04,1
Joe Stevenson,1357.8605524273537,2011-06-26,3
Sean Pierson,1606.488309127736,2013-06-15,6
John Makdessi,1470.4746901922044,2023-09-09,20
Antonio McKee,1472.8610403959553,2011-01-01,1
Mike Brown,1487.593332311042,2013-08-17,5
Diego Nunes,1492.7846636840923,2013-01-19,6
Phil Baroni,1448.23696702604,2011-01-01,1
Dustin Poirier,1729.0052510689263,2025-07-19,31
Josh Grispi,1335.324477136023,2013-02-16,4
Mark Hominick,1379.1831188685414,2012-11-17,5
George Roop,1445.4814400551993,2015-09-26,10
Chris Cariaso,1475.94466669395,2015-10-03,13
Rani Yahya,1501.3668786465682,2024-04-27,19
Willamy Freire,1449.536912475588,2011-01-22,1
Vitor Belfort,1550.9442656742635,2018-05-12,13
Forrest Griffin,1526.3307561851689,2012-07-07,3
Miguel Torres,1503.1354443178873,2012-04-21,4
Antonio Banuelos,1452.0,2011-02-05,1
Chad Mendes,1650.030367647875,2018-12-29,14
Michihiro Omigawa,1374.8769228257524,2012-08-04,5
Norifumi Yamamoto,1359.822366221889,2012-02-25,3
Demetrious Johnson,1918.5689290908226,2018-08-04,17
Kenny Robertson,1520.2883304049335,2016-09-17,9
Donald Cerrone,1491.5081876181953,2022-07-02,37
Brian Ebersole,1519.8771874752101,2015-06-06,8
Tiequan Zhang,1406.0900189652664,2012-11-10,4
Jason Reinhardt,1382.071502931885,2011-08-14,2
