fighter,cluster,archetype,current_age,cum_fights,career_win_rate_traj,career_finish_rate,win_rate_l5_vs_career,finish_rate_trend,fights_since_finish,longest_lose_streak_ever
Kevin Holland,0,Fading Contender,29.0,46,0.6521739130434783,0.5217391304347826,-0.25217391304347825,-0.3217391304347826,1.0,3
Kevin Jousset,0,Fading Contender,29.0,15,0.7333333333333333,0.3333333333333333,-0.1333333333333333,-0.1333333333333333,3.0,2
Kevin Lee,0,Fading Contender,29.0,28,0.7142857142857143,0.42857142857142855,-0.3142857142857143,-0.22857142857142854,4.0,2
Kevin Natividad,0,Fading Contender,33.1,13,0.6923076923076923,0.46153846153846156,-0.29230769230769227,-0.26153846153846155,2.0,3
Kevin Souza,4,Active Performer,29.0,0,0.5,0.0,0.0,0.0,0.0,0
Kevin Vallejos,2,Elite Finisher,29.0,19,0.9473684210526315,0.7894736842105263,0.052631578947368474,0.010526315789473717,1.0,1
Khabib Nurmagomedov,2,Elite Finisher,37.6,28,1.0,0.6428571428571429,0.0,-0.04285714285714293,0.0,0
Khadis Ibragimov,3,Veteran Contender,31.0,16,0.625,0.3125,-0.22499999999999998,-0.3125,7.0,5
Khalid Murtazaliev,2,Elite Finisher,32.8,15,0.8,0.6666666666666666,0.0,-0.2666666666666666,2.0,1
Khalid Taha,0,Fading Contender,34.2,21,0.7142857142857143,0.6190476190476191,-0.3142857142857143,-0.21904761904761905,0.0,4
Khalil Rountree Jr.,4,Active Performer,29.0,17,0.5882352941176471,0.4117647058823529,0.21176470588235297,-0.0117647058823529,1.0,2
Khama Worthy,1,Veteran Contender,39.6,31,0.6451612903225806,0.45161290322580644,-0.04516129032258065,-0.25161290322580643,3.0,3
Khamzat Chimaev,2,Elite Finisher,29.0,15,1.0,0.8666666666666667,0.0,-0.2666666666666667,1.0,0
Khaos Williams,4,Active Performer,29.0,9,0.6666666666666666,0.4444444444444444,-0.06666666666666665,-0.0444444444444444,0.0,1
Khusein Askhabov,2,Elite Finisher,29.0,24,0.9583333333333334,0.75,-0.15833333333333333,0.050000000000000044,0.0,1
Kiefer Crosbie,4,Active Performer,29.0,16,0.625,0.4375,-0.22499999999999998,-0.03749999999999998,2.0,3
Kiichi Kunimoto,1,Veteran Contender,45.0,35,0.6,0.34285714285714286,-0.19999999999999996,-0.14285714285714285,3.0,3
King Green,3,Veteran Contender,29.0,34,0.5294117647058824,0.20588235294117646,-0.12941176470588234,-0.20588235294117646,4.0,4
Kiru Sahota,0,Fading Contender,29.0,18,0.7777777777777778,0.6111111111111112,0.022222222222222254,-0.41111111111111115,5.0,2
Klaudia Sygula,4,Active Performer,29.0,9,0.7777777777777778,0.3333333333333333,0.022222222222222254,0.06666666666666671,1.0,1
Kleydson Rodrigues,0,Fading Contender,29.0,13,0.6153846153846154,0.46153846153846156,-0.4153846153846154,-0.26153846153846155,1.0,2
Klidson Abreu,0,Fading Contender,33.4,26,0.6538461538461539,0.5769230769230769,-0.25384615384615383,-0.37692307692307686,0.0,3
Kody Steele,4,Active Performer,31.1,13,0.8461538461538461,0.38461538461538464,-0.0461538461538461,0.4153846153846154,0.0,1
Konstantin Erokhin,1,Veteran Contender,43.3,13,0.6923076923076923,0.6153846153846154,-0.29230769230769227,-0.2153846153846154,2.0,3
Kris McCray,3,Veteran Contender,44.6,13,0.6153846153846154,0.38461538461538464,-0.015384615384615441,-0.38461538461538464,7.0,3
Kris Moutinho,4,Active Performer,29.0,21,0.6666666666666666,0.42857142857142855,0.13333333333333341,0.3714285714285715,0.0,2
Kron Gracie,2,Elite Finisher,29.0,7,0.7142857142857143,0.7142857142857143,-0.11428571428571432,-0.11428571428571432,1.0,2
Krzystof Jotko,2,Elite Finisher,29.0,15,0.8,0.7333333333333333,0.0,-0.1333333333333333,2.0,2
Krzysztof Jotko,4,Active Performer,36.7,35,0.8,0.2857142857142857,0.0,0.11428571428571432,0.0,3
Krzysztof Soszynski,1,Veteran Contender,48.8,38,0.6842105263157895,0.5526315789473685,-0.08421052631578951,-0.35263157894736846,2.0,5
Kurt Holobaugh,0,Fading Contender,29.0,31,0.6774193548387096,0.5483870967741935,-0.07741935483870965,-0.14838709677419348,2.0,4
Kurt Pellegrino,1,Veteran Contender,47.0,22,0.7272727272727273,0.5454545454545454,-0.12727272727272732,-0.1454545454545454,1.0,2
Kurtis Campbell,2,Elite Finisher,29.0,8,1.0,0.75,0.0,0.050000000000000044,0.0,0
Kwan Ho Kwak,0,Fading Contender,36.9,10,0.9,0.6,-0.09999999999999998,-0.39999999999999997,2.0,1
Kyle Bochniak,3,Veteran Contender,39.3,17,0.6470588235294118,0.23529411764705882,-0.04705882352941182,-0.23529411764705882,10.0,3
Kyle Daukaus,2,Elite Finisher,29.0,21,0.7619047619047619,0.6190476190476191,0.23809523809523814,0.18095238095238098,0.0,2
