date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2020-09-26,Ketlen Vieira,Sijara Eubanks,Women's Bantamweight,3,66.32,66.32,Ketlen Vieira,62.09,4.23,4.23,3,Watch,1,-190.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-03,Holly Holm,Irene Aldana,Women's Bantamweight,5,64.02,64.02,Holly Holm,53.0,11.02,11.02,6,Max Value,1,-125.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-03,Loma Lookboonmee,Jinh Yu Frey,Women's Strawweight,3,76.92,76.92,Loma Lookboonmee,56.9,20.02,20.02,6,Max Value,1,-150.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-03,Germaine de Randamie,Julianna Pena,Women's Bantamweight,3,60.88,60.88,Germaine de Randamie,57.12,3.76,3.76,3,Watch,1,-150.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-10,Tracy Cortez,Stephanie Egger,Women's Bantamweight,3,72.95,72.95,Tracy Cortez,63.6,9.34,9.34,5,Strong Value,1,-205.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-17,Gillian Robertson,Poliana Botelho,Women's Flyweight,3,64.76,64.76,Gillian Robertson,64.74,0.02,0.02,0,Lock,1,-215.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-17,Katlyn Chookagian,Jessica Andrade,Women's Flyweight,3,26.96,26.96,Jessica Andrade,58.54,14.5,14.5,6,Max Value,1,-159.0,1,1,1,,,1,train,CONFIRM_FAV
2020-10-24,Liana Jojua,Miranda Maverick,Women's Flyweight,3,36.07,36.07,Miranda Maverick,75.96,-12.03,12.03,6,Max Value,-1,-400.0,1,1,1,,,1,train,NO_EDGE
2020-10-24,Lauren Murphy,Liliya Shakirova,Women's Flyweight,3,66.23,66.23,Lauren Murphy,64.82,1.41,1.41,1,Strong,1,-215.0,1,1,1,,,1,train,CONFIRM_FAV
2020-11-07,Claudia Gadelha,Yan Xiaonan,Women's Strawweight,3,35.69,35.69,Yan Xiaonan,57.76,6.54,6.54,4,Value,1,-155.0,1,1,1,,,1,train,CONFIRM_FAV
2020-11-14,Randa Markos,Kanako Murata,Women's Strawweight,3,38.7,38.7,Kanako Murata,62.96,-1.67,1.67,1,Strong,-1,-200.0,1,1,1,,,1,train,NO_EDGE
2020-11-14,Ashley Yoder,Miranda Granger,Women's Strawweight,3,50.5,50.5,Ashley Yoder,40.49,10.02,10.02,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG
2020-11-14,Kay Hansen,Cory McKenna,Women's Strawweight,3,35.61,35.61,Cory McKenna,33.88,30.51,30.51,6,Max Value,1,180.0,1,0,0,,,1,train,CONFIRM_DOG
2020-11-21,Valentina Shevchenko,Jennifer Maia,Women's Flyweight,3,82.46,82.46,Valentina Shevchenko,89.96,-7.5,7.5,4,Value,-1,-1667.0,1,1,1,,,1,train,NO_EDGE
2020-11-21,Katlyn Chookagian,Cynthia Calvillo,Women's Flyweight,3,54.09,54.09,Katlyn Chookagian,31.11,22.98,22.98,6,Max Value,1,205.0,1,0,0,,,1,train,CONFIRM_DOG
2020-11-21,Antonina Shevchenko,Ariane Lipski,Women's Flyweight,3,63.11,63.11,Antonina Shevchenko,58.99,4.11,4.11,3,Watch,1,-167.0,1,1,1,,,1,train,CONFIRM_FAV
2020-11-28,Gina Mazany,Rachael Ostovich,Women's Flyweight,3,60.22,60.22,Gina Mazany,63.41,-3.19,3.19,3,Watch,-1,-200.0,1,1,1,,,1,train,NO_EDGE
2020-11-28,Ashlee Evans-Smith,Norma Dumont,Women's Bantamweight,3,26.71,26.71,Norma Dumont,45.17,28.12,28.12,6,Max Value,1,110.0,1,0,0,,,1,train,CONFIRM_DOG
2020-12-12,Tecia Torres,Sam Hughes,Women's Strawweight,3,63.61,63.61,Tecia Torres,81.63,-18.02,18.02,6,Max Value,-1,-550.0,1,1,1,,,1,train,NO_EDGE
