date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split
2025-08-02,Nick Klein,Andrey Pulyaev,Middleweight,3,0.4138,0.4563,Andrey Pulyaev,0.537,0.0067,0.0067,0,Lock,1,-126.0,1,1,1,0.6449,MEDIUM,1,test
2025-08-02,Austin Bashi,John Yannis,Featherweight,3,0.5835,0.7712,Austin Bashi,0.8842,-0.113,0.113,6,Max Value,-1,-1150.0,1,1,1,0.7604,LOCK,1,test
2025-08-02,Felipe Bunes,Rafael Estevam,Flyweight,3,0.3768,0.1876,Rafael Estevam,0.837,-0.0246,0.0246,2,Lean,-1,-670.0,1,1,1,0.9009,LOCK,1,test
2025-07-26,Reinier de Ridder,Robert Whittaker,Middleweight,5,0.3363,0.363,Robert Whittaker,0.579,0.058,0.058,4,Value,1,-152.0,1,1,1,0.8329,LOCK,0,test
2025-07-26,Marcus McGhee,Petr Yan,Bantamweight,3,0.4609,0.2551,Petr Yan,0.7472,-0.0023,0.0023,0,Lock,-1,-350.0,1,1,1,0.7251,HIGH,1,test
2025-07-26,Shara Magomedov,Marc-Andre Barriault,Middleweight,3,0.7287,0.7696,Shara Magomedov,0.8341,-0.0645,0.0645,4,Value,-1,-650.0,1,1,1,0.9055,LOCK,1,test
2025-07-26,Jose Ochoa,Asu Almabayev,Flyweight,3,0.4455,0.4238,Asu Almabayev,0.5,0.0762,0.0762,4,Value,1,-108.0,1,1,1,0.6591,HIGH,1,test
2025-07-26,Bogdan Guskov,Nikita Krylov,Light Heavyweight,3,0.3772,0.345,Nikita Krylov,0.6361,0.0189,0.0189,1,Strong,1,-196.0,1,1,1,0.7997,LOCK,0,test
2025-07-26,Bryce Mitchell,Said Nurmagomedov,Bantamweight,3,0.5326,0.557,Bryce Mitchell,0.5693,-0.0123,0.0123,1,Strong,-1,-144.0,1,1,1,0.5585,MEDIUM,1,test
2025-07-26,Carlos Leal,Muslim Salikhov,Welterweight,3,0.378,0.6001,Carlos Leal,0.7995,-0.1994,0.1994,6,Max Value,-1,-490.0,0,1,0,0.1345,LOW,0,test
2025-07-26,Davey Grant,Da'Mon Blackshear,Bantamweight,3,0.4818,0.2167,Da'Mon Blackshear,0.7654,0.0178,0.0178,1,Strong,1,-390.0,1,1,1,0.7293,HIGH,0,test
2025-07-26,Billy Elekana,Ibo Aslan,Light Heavyweight,3,0.2495,0.2484,Ibo Aslan,0.7136,0.0381,0.0381,3,Watch,1,-290.0,1,1,1,0.9525,LOCK,0,test
2025-07-26,Steven Nguyen,Mohammad Yahya,Featherweight,3,0.7658,0.806,Steven Nguyen,0.7328,0.0732,0.0732,4,Value,1,-320.0,1,1,1,0.9707,LOCK,1,test
2025-07-26,Martin Buday,Marcus Buchecha,Heavyweight,3,0.7253,0.397,Marcus Buchecha,0.6901,-0.0871,0.0871,5,Strong Value,-1,-255.0,0,1,0,0.5121,LOW,0,test
2025-07-19,Dustin Poirier,Max Holloway,Lightweight,5,0.3749,0.4081,Max Holloway,0.5188,0.0732,0.0732,4,Value,1,-122.0,1,1,1,0.7918,LOCK,1,test
2025-06-28,Charles Oliveira,Ilia Topuria,Lightweight,5,0.3602,0.2639,Ilia Topuria,0.7711,-0.0349,0.0349,3,Watch,-1,-405.0,1,1,1,0.8521,LOCK,1,test
2025-06-28,Alexandre Pantoja,Kai Kara-France,Flyweight,5,0.5719,0.6935,Alexandre Pantoja,0.6854,0.0081,0.0081,0,Lock,1,-250.0,1,1,1,0.7458,HIGH,1,test
2025-06-28,Brandon Royval,Joshua Van,Flyweight,3,0.3161,0.3915,Joshua Van,0.5242,0.0842,0.0842,5,Strong Value,1,-120.0,1,1,1,0.8678,LOCK,1,test
2025-06-28,Renato Moicano,Beneil Dariush,Lightweight,3,0.4507,0.4522,Beneil Dariush,0.5089,0.0389,0.0389,3,Watch,1,-112.0,1,1,1,0.581,MEDIUM,1,test
2025-06-28,Payton Talbott,Felipe Lima,Bantamweight,3,0.7355,0.5165,Payton Talbott,0.3903,0.1262,0.1262,6,Max Value,1,146.0,1,0,0,0.9052,LOCK,1,test
2025-06-28,Gregory Rodrigues,Jack Hermansson,Middleweight,3,0.5605,0.6304,Gregory Rodrigues,0.6464,-0.016,0.016,1,Strong,-1,-205.0,1,1,1,0.6184,MEDIUM,1,test
2025-06-28,Jose Delgado,Hyder Amil,Featherweight,3,0.4438,0.5147,Jose Delgado,0.5545,-0.0398,0.0398,3,Watch,-1,-136.0,0,1,0,0.3523,LOW,1,test
2025-06-28,Terrance McKinney,Viacheslav Borshchev,Lightweight,3,0.7792,0.7094,Terrance McKinney,0.6068,0.1027,0.1027,6,Max Value,1,-172.0,1,1,1,0.9563,LOCK,1,test
2025-06-28,Niko Price,Jacobe Smith,Welterweight,3,0.0981,0.2394,Jacobe Smith,0.9199,-0.1592,0.1592,6,Max Value,-1,-2200.0,1,1,1,0.8789,LOCK,1,test
