name,ufc_wins,ufc_losses,sherdog_wins,sherdog_losses,sherdog_total,reasons
Rose Namajunas,15,8,14,8,22,sh_wins(14)<ufc_wins(15)
Roy Nelson,22,14,1,2,3,sh_wins(1)<ufc_wins(22)
Ryan Loder,8,3,7,3,10,sh_wins(7)<ufc_wins(8)
Santiago Ponzinibbio,31,9,30,9,39,sh_wins(30)<ufc_wins(31)
Sergey Khandozhko,28,6,27,6,34,sh_wins(27)<ufc_wins(28)
Shane Young,13,8,0,1,1,sh_wins(0)<ufc_wins(13); sh_total(1)<3 with ufc_wins=13
Shannon Ross,13,9,12,9,21,sh_wins(12)<ufc_wins(13)
Sheldon Westcott,10,3,9,3,13,sh_wins(9)<ufc_wins(10)
Shinsho Anzai,10,3,9,6,15,sh_wins(9)<ufc_wins(10)
Sijara Eubanks,8,7,7,7,14,sh_wins(7)<ufc_wins(8)
Stefan Struve,33,13,29,13,42,sh_wins(29)<ufc_wins(33)
Steve Garcia,19,5,0,1,1,sh_wins(0)<ufc_wins(19); sh_total(1)<3 with ufc_wins=19
Stevie Ray,23,9,0,1,1,sh_wins(0)<ufc_wins(23); sh_total(1)<3 with ufc_wins=23
SuYoung You,16,3,13,2,16,sh_wins(13)<ufc_wins(16)
Sumudaerji,19,7,13,2,16,sh_wins(13)<ufc_wins(19)
TJ Brown,17,11,13,2,16,sh_wins(13)<ufc_wins(17)
TJ Dillashaw,18,5,13,2,16,sh_wins(13)<ufc_wins(18)
Tai Tuivasa,15,9,14,9,23,sh_wins(14)<ufc_wins(15)
Te Edwards,6,3,1,2,3,sh_wins(1)<ufc_wins(6)
Thiago Santos,22,11,1,3,4,sh_wins(1)<ufc_wins(22)
Tim Elliott,22,13,21,13,35,sh_wins(21)<ufc_wins(22)
Tony Ferguson,26,11,25,11,36,sh_wins(25)<ufc_wins(26)
Uriah Hall,18,11,17,11,28,sh_wins(17)<ufc_wins(18)
Victor Hugo,25,5,0,1,1,sh_wins(0)<ufc_wins(25); sh_total(1)<3 with ufc_wins=25
Victor Rodriguez,7,4,5,4,9,sh_wins(5)<ufc_wins(7)
