fighter_name,has_ufc_stats_url,ufc_stats_url
Austin Vanderford,True,http://ufcstats.com/fighter-details/32c3ee378671a5d9
Axel Sola,True,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
Azamat Bekoev,True,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
Azamat Murzakanov,True,http://ufcstats.com/fighter-details/e90a2f22417af68e
Azat Maksum,True,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
Baergeng Jieleyisi,True,http://ufcstats.com/fighter-details/8677e67a75d65b8e
Baisangur Susurkaev,True,http://ufcstats.com/fighter-details/d1feea7a4bdcd503
Bassil Hafez,True,http://ufcstats.com/fighter-details/f4d92416da98804b
Batgerel Danaa,True,http://ufcstats.com/fighter-details/3b0a516d2921e0d6
Bekzat Almakhan,True,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
Belal Muhammad,True,http://ufcstats.com/fighter-details/b1b0729d27936f2f
Benardo Sopaj,True,http://ufcstats.com/fighter-details/b6c37948cb226e8c
Beneil Dariush,True,http://ufcstats.com/fighter-details/08af939f41b5a57b
Benoit Saint Denis,True,http://ufcstats.com/fighter-details/c2299ec916bc7c56
Bia Mesquita,True,http://ufcstats.com/fighter-details/eff9074bc066f0f2
Bill Algeo,True,http://ufcstats.com/fighter-details/9abc648e76c4493a
Billy Elekana,True,http://ufcstats.com/fighter-details/07a74004d964c7f4
Billy Quarantillo,True,http://ufcstats.com/fighter-details/aa171d55d4b5208f
Billy Ray Goff,True,http://ufcstats.com/fighter-details/fa07345cc9db5cc9
Blagoy Ivanov,True,http://ufcstats.com/fighter-details/1788eee370f077b7
Blake Bilder,True,http://ufcstats.com/fighter-details/5095b0920a3602aa
Blood Diamond,True,http://ufcstats.com/fighter-details/9edf2c9082cc2cd8
Bo Nickal,True,http://ufcstats.com/fighter-details/35673bf5204524ee
Bogdan Grad,True,http://ufcstats.com/fighter-details/fb37795db81f93f3
Bogdan Guskov,True,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
Bolaji Oki,True,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d
Brad Katona,True,http://ufcstats.com/fighter-details/7b433309b0fd12aa
Brad Tavares,True,http://ufcstats.com/fighter-details/0c6d9ea8306c029e
Brady Hiestand,True,http://ufcstats.com/fighter-details/7af33fc4435017f1
Brando Pericic,True,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7
Brandon Moreno,True,http://ufcstats.com/fighter-details/792be9a24df82ed6
Brandon Royval,True,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15
Braxton Smith,True,http://ufcstats.com/fighter-details/eaa9402e5a7990ad
Brendan Allen,True,http://ufcstats.com/fighter-details/2f181c0467965b98
Brendon Marotte,True,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5
Brendson Ribeiro,True,http://ufcstats.com/fighter-details/49edd0d90f60fb7d
Brian Kelleher,True,http://ufcstats.com/fighter-details/7be14eaed4c74856
Brian Ortega,True,http://ufcstats.com/fighter-details/def8166ff24bd237
Brogan Walker,True,http://ufcstats.com/fighter-details/4333a8e70a672eb7
Bruna Brasil,True,http://ufcstats.com/fighter-details/7138a15258dabf20
Brunno Ferreira,True,http://ufcstats.com/fighter-details/1e719d4b676dc19a
