R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,R_recent_won,R_recent_avg_SIG_STR_landed,R_recent_avg_SIG_STR_pct,R_recent_avg_TD_landed,R_recent_avg_TD_pct,R_recent_avg_SUB_ATT,B_recent_won,B_recent_avg_SIG_STR_landed,B_recent_avg_SIG_STR_pct,B_recent_avg_TD_landed,B_recent_avg_TD_pct,B_recent_avg_SUB_ATT,recent_won_dif,recent_sig_str_dif,recent_td_dif,R_avg_KD,R_avg_Ctrl_Sec,B_avg_KD,B_avg_Ctrl_Sec,avg_KD_dif,avg_Ctrl_Sec_dif,target,R_finish_rate,B_finish_rate,finish_rate_dif,B_upset_potential,R_finish_vulnerability,R_wrestling_score,B_wrestling_score,wrestling_score_dif
Josh Emmett,Kevin Vallejos,400.0,-520.0,400.0,19.2308,2026-03-14,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,5,0,4,0,6.12,0.48,0.0,0.66,0.28,4,1,10,0,0,0,1,3,0,0,4,Switch,170.18,172.72,145,2,0,0,3.67,0.35,0.1,1.07,0.36,5,6,44,1,0,2,4,4,0,0,10,Orthodox,167.64,177.8,145,41,24,-2,4,-1,-6,-5,-34,-1,-1,0,2.54,-5.08,-17,2.45,-0.1,-0.41,,14.0,11.0,,,,,,,,,,11.0,,,,,,,,,,,,,14.0,,,,Red,KO/TKO,Punches,1.0,3:33,213.0,900.0,220.0,3300.0,900.0,3300.0,1800.0,0.3333333333333333,3.793333333333333,0.35333333333333333,1.0166666666666668,0.36333333333333334,0.1,1.0,6.12,0.48,0.66,0.28,0.0,-0.6666666666666667,-2.326666666666667,0.3566666666666668,,,,,,,0,0.36363636363636365,0.6,-0.23636363636363633,0.6,0.13333333333333333,0.48519999999999996,0.18480000000000002,0.30039999999999994
Amanda Lemos,Gillian Robertson,194.0,-240.0,194.0,41.6667,2026-03-14,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,4,0,2.71,0.48,0.9,2.76,0.4,4,6,42,0,0,0,3,3,7,0,13,Orthodox,165.1,160.02,115,1,0,0,2.75,0.55,0.7,1.02,0.64,5,5,33,1,0,1,3,3,2,0,9,Southpaw,162.56,165.1,115,38,30,-1,4,-1,4,1,9,-1,0,5,2.54,-5.08,-8,-0.04,0.2,1.74,,8.0,5.0,,,5.0,,,,,,,,,,,,,8.0,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,350.0,155.0,1700.0,320.0,800.0,650.0,0.3333333333333333,2.8866666666666667,0.5466666666666667,0.9800000000000001,0.6366666666666667,0.7333333333333334,1.0,2.81,0.48,2.64,0.4033333333333333,1.0000000000000002,-0.6666666666666667,0.07666666666666666,-1.6600000000000001,,,,,,,0,0.5,0.7142857142857143,-0.2142857142857143,0.7142857142857143,0.14705882352941177,1.3528,2.004,-0.6512
Andre Fili,Jose Delgado,370.0,-480.0,370.0,20.8333,2026-03-14,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,1,0,0,7.48,0.54,0.0,1.51,0.4,3,1,7,0,0,0,0,3,0,0,3,Switch,180.34,187.96,145,0,1,0,3.88,0.37,0.2,2.32,0.46,2,11,58,0,0,5,4,4,0,0,13,Orthodox,180.34,187.96,145,35,27,1,-1,1,-10,-10,-51,0,-1,0,0.0,0.0,-8,3.6,-0.2,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3.0,5:00,900.0,700.0,360.0,3000.0,600.0,850.0,-110.0,0.6666666666666666,3.88,0.37,2.263333333333333,0.45,0.2,0.6666666666666666,7.48,0.54,1.51,0.4,0.0,0.0,-3.6000000000000005,0.7533333333333332,,,,,,,0,0.2857142857142857,0.75,-0.4642857142857143,0.75,0.1864406779661017,1.2671999999999999,0.6040000000000001,0.6631999999999998
Ion Cutelaba,Oumar Sy,250.0,-320.0,250.0,31.25,2026-03-14,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,0,1,0,3.41,0.48,0.3,2.45,0.35,2,1,8,0,0,0,1,1,1,0,3,Orthodox,193.04,210.82,205,1,0,1,4.23,0.43,0.2,3.76,0.49,2,10,37,0,0,1,2,4,1,0,8,Southpaw,185.42,190.5,205,32,30,-1,1,0,-5,-9,-29,0,-3,0,7.62,20.32,-2,-0.82,0.1,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Guillotine Choke,1.0,4:24,264.0,700.0,280.0,1600.0,195.0,550.0,380.0,0.6666666666666666,4.25,0.43,3.853333333333333,0.5,0.13333333333333333,0.6666666666666666,3.8766666666666665,0.5166666666666666,2.703333333333333,0.3666666666666667,0.4666666666666666,0.0,0.3733333333333335,1.15,,,,,,,1,0.5555555555555556,0.5,0.05555555555555558,0.5,0.2631578947368421,2.0423999999999998,1.1575,0.8848999999999998
Charles Johnson,Bruno Silva,-178.0,150.0,56.1798,150.0,2026-03-14,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,1,0,3.95,0.51,0.2,2.01,0.25,4,4,25,0,0,0,0,3,2,0,5,Orthodox,162.56,165.1,125,1,0,0,4.77,0.49,0.3,0.51,0.16,4,6,34,0,0,1,3,3,0,0,7,Switch,175.26,177.8,125,35,35,-1,1,0,-2,-2,-9,0,0,2,-12.7,-12.7,0,-0.82,-0.1,1.5,,,14.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,Red,S-DEC,,3.0,5:00,900.0,135.0,430.0,1600.0,750.0,380.0,550.0,0.3333333333333333,4.77,0.49,0.51,0.16,0.3,0.3333333333333333,3.9200000000000004,0.5,1.5966666666666667,0.24000000000000002,0.13333333333333333,0.0,0.8499999999999992,-1.0866666666666667,,,,,,,1,0.375,0.8333333333333334,-0.45833333333333337,0.8333333333333334,0.17142857142857143,0.3816,0.7024999999999999,-0.3208999999999999
Chris Curtis,Myktybek Orolbai,370.0,-480.0,370.0,20.8333,2026-03-14,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,2,0,2.78,0.5,0.5,8.77,0.59,2,1,10,0,0,0,1,1,2,0,4,Orthodox,177.8,187.96,170,0,1,0,5.52,0.5,0.0,0.0,0.0,4,4,33,0,0,2,1,4,0,0,7,Orthodox,177.8,190.5,170,38,28,0,1,-2,-3,-3,-23,0,-3,2,0.0,-2.54,-10,-2.74,0.5,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,650.0,130.0,3000.0,340.0,950.0,340.0,0.3333333333333333,5.599999999999999,0.5033333333333333,0.0,0.0,0.0,0.6666666666666666,2.9933333333333336,0.49333333333333335,7.633333333333333,0.5366666666666666,0.4666666666666666,-0.3333333333333333,2.606666666666665,-7.633333333333333,,,,,,,0,0.5,0.6,-0.09999999999999998,0.6,0.11764705882352941,0.0,5.6743,-5.6743
Elijah Smith,SuYoung You,-260.0,215.0,38.4615,215.0,2026-03-14,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,5,0,2.15,0.47,0.4,4.26,0.47,5,0,15,1,0,1,4,0,0,0,5,Orthodox,167.64,165.1,135,0,3,0,4.18,0.48,1.1,2.98,0.53,3,0,7,0,0,0,2,1,0,0,3,Orthodox,175.26,180.34,135,23,30,0,2,2,2,0,8,1,-1,0,-7.62,-15.24,7,-2.03,-0.7,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,2.0,1:04,364.0,120.0,275.0,850.0,900.0,350.0,1400.0,1.0,4.18,0.48,2.98,0.53,1.1,1.0,2.1366666666666667,0.4533333333333333,4.3966666666666665,0.5066666666666667,0.3666666666666667,0.0,2.043333333333333,-1.4166666666666665,,,,,,,1,0.25,0.0,0.25,0.0,0.0,2.6794000000000002,2.4021999999999997,0.27720000000000056
Brad Tavares,Eryk Anders,112.0,-132.0,112.0,75.7576,2026-03-14,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,3.44,0.47,0.1,1.83,0.25,2,9,47,0,0,1,3,5,0,0,9,Southpaw,185.42,190.5,185,1,0,0,3.41,0.43,0.0,0.7,0.26,5,11,74,0,0,3,11,2,0,0,16,Orthodox,185.42,187.96,185,38,38,0,0,-3,-7,-2,-27,0,3,0,0.0,2.54,0,0.03,0.1,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,210.0,200.0,2700.0,2000.0,500.0,320.0,0.3333333333333333,3.4166666666666665,0.43,0.7133333333333333,0.26,0.0,0.6666666666666666,3.42,0.47,1.8033333333333335,0.25666666666666665,0.1,-0.3333333333333333,-0.0033333333333334103,-1.0900000000000003,,,,,,,0,0.11764705882352941,0.5,-0.38235294117647056,0.5,0.14666666666666667,0.182,0.5575,-0.3755
Piera Rodriguez,Sam Hughes,-152.0,128.0,65.7895,128.0,2026-03-14,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,3,0,4.41,0.47,0.2,1.12,0.29,3,5,30,0,1,2,1,1,1,0,6,Orthodox,165.1,162.56,115,0,2,0,4.04,0.46,0.0,4.04,0.5,3,2,19,0,0,1,4,0,0,0,5,Orthodox,160.02,160.02,115,33,33,0,1,0,1,3,11,0,1,1,5.08,2.54,0,0.37,0.2,-2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,110.0,185.0,1500.0,1300.0,800.0,1300.0,0.6666666666666666,3.7733333333333334,0.4666666666666666,3.42,0.44,0.0,1.0,4.383333333333334,0.4666666666666666,1.03,0.2933333333333333,0.13333333333333333,-0.33333333333333337,-0.6100000000000003,2.3899999999999997,,,,,,,1,0.0,0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.1,2.02,0.5248,1.4952
Max Holloway,Charles Oliveira,-196.0,164.0,51.0204,164.0,2026-03-07,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,5,0,1,0,3.23,0.55,2.6,2.29,0.39,11,11,71,4,0,0,3,4,17,0,24,Orthodox,177.8,187.96,155,0,1,0,6.91,0.48,0.3,0.23,0.53,13,8,106,10,0,1,9,11,2,0,23,Orthodox,180.34,175.26,155,34,36,0,0,-2,1,3,-35,-6,-7,15,-2.54,12.7,2,-3.68,2.3,2.06,,3.0,4.0,,,,,,,,,4.0,,,,10.0,,,,,,,,,3.0,,,,,Blue,U-DEC,,5.0,5:00,1500.0,270.0,900.0,1800.0,330.0,3300.0,2500.0,0.6666666666666666,7.079999999999996,0.4766666666666666,0.24333333333333332,0.53,0.3,0.6666666666666666,3.2866666666666666,0.55,2.276666666666667,0.3933333333333333,2.6333333333333333,0.0,3.793333333333329,-2.0333333333333337,0.6666666666666666,30.666666666666668,0.0,376.0,0.6666666666666666,-345.3333333333333,0,0.5416666666666666,0.84,-0.29833333333333334,0.84,0.07476635514018691,0.4219,3.4931,-3.0712
