R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,R_recent_won,R_recent_avg_SIG_STR_landed,R_recent_avg_SIG_STR_pct,R_recent_avg_TD_landed,R_recent_avg_TD_pct,R_recent_avg_SUB_ATT,B_recent_won,B_recent_avg_SIG_STR_landed,B_recent_avg_SIG_STR_pct,B_recent_avg_TD_landed,B_recent_avg_TD_pct,B_recent_avg_SUB_ATT,recent_won_dif,recent_sig_str_dif,recent_td_dif,R_avg_KD,R_avg_Ctrl_Sec,B_avg_KD,B_avg_Ctrl_Sec,avg_KD_dif,avg_Ctrl_Sec_dif,target,R_finish_rate,B_finish_rate,finish_rate_dif,B_upset_potential,R_finish_vulnerability,R_wrestling_score,B_wrestling_score,wrestling_score_dif
Punahele Soriano,Nikolay Veretennikov,-405.0,320.0,24.6914,320.0,2025-10-04,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,2.69,0.56,0.4,0.42,0.16,1,3,11,0,0,1,0,0,0,0,1,Orthodox,185.42,187.96,170,0,2,0,4.42,0.53,0.1,1.97,0.51,3,4,21,0,0,0,2,4,0,0,6,Southpaw,180.34,182.88,170,32,35,0,-1,-2,-5,-1,-10,0,-4,0,5.08,5.08,3,-1.73,0.3,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,220.0,900.0,3500.0,5000.0,950.0,2500.0,0.6666666666666666,4.733333333333333,0.53,1.6433333333333333,0.5433333333333333,0.03333333333333333,0.3333333333333333,2.9266666666666663,0.57,0.27999999999999997,0.10666666666666667,0.26666666666666666,0.3333333333333333,1.806666666666667,1.3633333333333333,0.3333333333333333,220.66666666666666,0.0,54.0,0.3333333333333333,166.66666666666666,1,0.5714285714285714,0.0,0.5714285714285714,0.0,0.18181818181818182,1.1047,0.4672,0.6375
Macy Chiasson,Yana Santos,-205.0,-134.0,48.7805,74.6269,2025-10-04,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,2,0,4.41,0.57,0.1,0.78,0.47,2,5,29,1,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,1,0,0,3.21,0.46,0.4,1.87,0.35,3,4,28,1,0,1,2,3,2,0,8,Orthodox,180.34,182.88,135,34,35,-1,2,-1,-2,1,1,0,-3,-2,-12.7,-10.16,1,1.2,-0.3,-1.09,,10.0,5.0,,,,5.0,,,,,,,,,,,,,10.0,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,155.0,200.0,2200.0,750.0,2700.0,450.0,0.6666666666666666,3.5833333333333335,0.46,2.2033333333333336,0.36999999999999994,0.4,0.6666666666666666,4.416666666666667,0.5766666666666665,0.9066666666666666,0.51,0.1,0.0,-0.8333333333333335,1.2966666666666669,0.0,96.33333333333333,0.3333333333333333,113.0,-0.3333333333333333,-16.66666666666667,0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.13793103448275862,1.0545,0.4666,0.5879
Chris Gutierrez,Farid Basharat,420.0,-560.0,420.0,17.8571,2025-10-04,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,5,0,4.25,0.52,0.3,3.34,0.44,5,0,13,0,0,0,4,0,1,0,5,Orthodox,172.72,180.34,135,0,2,1,4.4,0.57,0.1,0.3,0.3,4,3,39,0,0,3,4,3,0,0,10,Orthodox,175.26,170.18,135,34,28,0,3,1,-5,-3,-26,0,-3,1,-2.54,10.16,-6,-0.15,0.2,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,700.0,-155.0,5000.0,2500.0,4000.0,3500.0,0.6666666666666666,4.613333333333333,0.5833333333333334,0.2733333333333333,0.3,0.1,1.0,4.433333333333334,0.57,3.9633333333333334,0.42,0.5666666666666665,-0.33333333333333337,0.17999999999999972,-3.69,0.3333333333333333,17.0,0.0,296.6666666666667,0.3333333333333333,-279.6666666666667,0,0.2727272727272727,0.16666666666666666,0.10606060606060605,0.16666666666666666,0.075,0.19,1.7696,-1.5796000000000001
Veronica Hardy,Brogan Walker,-770.0,540.0,12.987,540.0,2025-10-04,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,2,0,0,1.84,0.32,0.0,1.02,0.75,0,2,6,0,0,0,0,0,0,0,0,Switch,162.56,170.18,125,1,0,0,3.06,0.45,0.3,0.82,0.41,3,5,24,0,0,1,2,0,1,0,4,Southpaw,162.56,162.56,125,29,37,1,0,-3,-4,-3,-18,0,0,-1,0.0,7.62,8,-1.22,-0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,-210.0,700.0,3000.0,5000.0,2500.0,5000.0,0.6666666666666666,3.1266666666666665,0.45,1.03,0.41,0.3,0.0,2.04,0.3,0.0,0.0,0.0,0.6666666666666666,1.0866666666666664,1.03,0.0,31.666666666666668,0.0,70.0,0.0,-38.33333333333333,1,0.2,0.0,0.2,0.0,0.2,0.6361999999999999,0.765,-0.12880000000000014
Carlos Ulberg,Dominick Reyes,-245.0,200.0,40.8163,200.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Light Heavyweight,MALE,5,0,3,0,5.39,0.54,0.3,0.29,0.28,6,4,24,2,0,1,1,6,1,0,9,Southpaw,193.04,195.58,205,0,8,0,6.54,0.55,0.2,0.55,0.6,8,1,19,0,0,0,3,5,1,0,9,Orthodox,193.04,195.58,205,34,35,0,-5,-2,0,3,5,2,1,0,0.0,0.0,1,-1.15,0.1,-0.26,,7.0,3.0,,,,,,3.0,,,,,,,,,,,,,7.0,,,,,,,,Red,KO/TKO,Punches,1.0,4:27,267.0,500.0,750.0,2200.0,2000.0,2800.0,3300.0,1.0,7.05,0.5666666666666668,0.7399999999999999,0.7000000000000001,0.2333333333333333,1.0,5.043333333333333,0.5133333333333333,0.33,0.28,0.3,0.0,2.006666666666667,0.40999999999999986,0.3333333333333333,3.3333333333333335,1.0,78.66666666666667,-0.6666666666666667,-75.33333333333334,1,0.6,0.7,-0.09999999999999998,0.7,0.05,0.53,0.3812,0.14880000000000004
Jimmy Crute,Ivan Erslan,-235.0,194.0,42.5532,194.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Light Heavyweight,MALE,3,2,0,0,2.55,0.46,0.0,0.45,0.2,0,2,6,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,205,0,1,2,4.15,0.52,2.0,4.39,0.52,3,4,19,0,0,0,0,3,3,0,6,Orthodox,187.96,187.96,205,29,33,2,-1,-3,-6,-2,-13,0,-3,-3,0.0,-5.08,4,-1.6,-2.0,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,3:19,199.0,400.0,800.0,280.0,3000.0,240.0,310.0,0.3333333333333333,3.8366666666666673,0.5333333333333333,4.69,0.5533333333333333,2.0,0.0,2.575,0.51,0.725,0.35,0.0,0.3333333333333333,1.2616666666666672,3.9650000000000003,0.3333333333333333,147.33333333333334,0.0,210.0,0.3333333333333333,-62.66666666666666,1,0.8571428571428571,0.0,0.8571428571428571,0.0,0.2,4.2828,0.09000000000000001,4.1928
Jack Jenkins,Ramon Taveras,-300.0,245.0,33.3333,245.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Featherweight,MALE,3,1,0,0,4.07,0.43,0.0,0.0,0.0,2,2,8,0,0,1,0,1,0,0,2,Southpaw,172.72,177.8,145,1,0,0,4.48,0.61,0.2,1.98,0.6,3,2,17,0,0,1,1,2,0,0,4,Switch,170.18,172.72,145,31,31,0,0,-1,-2,0,-9,0,-1,0,2.54,5.08,0,-0.41,-0.2,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,140.0,460.0,950.0,1400.0,230.0,950.0,0.3333333333333333,4.713333333333334,0.6033333333333334,2.0733333333333337,0.66,0.06666666666666667,0.5,4.63,0.45,0.0,0.0,0.0,-0.16666666666666669,0.08333333333333393,2.0733333333333337,1.0,103.66666666666667,0.5,3.0,0.5,100.66666666666667,1,0.4,0.3333333333333333,0.06666666666666671,0.3333333333333333,0.1111111111111111,1.388,0.0,1.388
Jake Matthews,Neil Magny,-320.0,260.0,31.25,260.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Blue,False,Welterweight,MALE,3,0,1,0,3.4,0.46,0.3,2.17,0.39,7,12,91,0,0,4,10,7,2,0,23,Orthodox,190.5,203.2,170,0,3,0,3.34,0.43,0.8,1.44,0.41,3,7,54,0,0,1,6,2,6,0,15,Orthodox,180.34,185.42,170,31,38,0,-2,4,8,5,37,0,5,-4,10.16,17.78,7,0.06,-0.5,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,D'Arce Choke,3.0,3:08,788.0,145.0,650.0,370.0,1200.0,400.0,700.0,1.0,3.353333333333333,0.43333333333333335,1.4800000000000002,0.41,0.7333333333333334,0.3333333333333333,3.4233333333333333,0.46,2.1466666666666665,0.38999999999999996,0.2333333333333333,0.6666666666666667,-0.07000000000000028,-0.6666666666666663,0.0,84.33333333333333,0.0,98.33333333333333,0.0,-14.0,0,0.5,0.375,0.125,0.375,0.12727272727272726,1.3904,1.1463,0.24409999999999998
Tom Nolan,Charlie Campbell,-158.0,134.0,63.2911,134.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Lightweight,MALE,3,0,2,0,5.23,0.51,0.0,2.45,0.36,2,1,5,0,0,0,1,1,0,0,2,Orthodox,182.88,182.88,155,0,3,0,5.87,0.45,1.9,0.74,0.22,3,1,9,0,0,0,2,2,0,0,4,Southpaw,190.5,185.42,155,25,30,0,-1,-1,-2,0,-4,0,-1,0,-7.62,-2.54,5,-0.64,-1.9,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,4:08,248.0,350.0,550.0,1000.0,1000.0,185.0,300.0,1.0,6.41,0.48333333333333334,0.24666666666666667,0.07333333333333333,1.0999999999999999,1.0,5.55,0.54,2.95,0.4,0.0,0.0,0.8600000000000003,-2.7033333333333336,0.0,48.333333333333336,0.5,171.5,-0.5,-123.16666666666666,1,0.4,0.3333333333333333,0.06666666666666671,0.3333333333333333,0.1,2.0627999999999997,0.882,1.1807999999999996
Navajo Stirling,Rodolfo Bellato,-270.0,220.0,37.037,220.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Light Heavyweight,MALE,3,0,2,1,5.37,0.6,0.2,1.38,0.35,2,1,10,0,0,0,0,2,0,0,2,Orthodox,190.5,190.5,205,0,3,0,6.25,0.52,0.0,0.98,0.28,3,0,8,0,0,0,2,1,0,0,3,Orthodox,193.04,200.66,205,27,29,0,-1,-1,-1,1,2,0,1,0,-2.54,-10.16,2,-0.88,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,310.0,500.0,1500.0,1300.0,110.0,650.0,1.0,6.66,0.6000000000000001,0.49,0.14,0.0,1.0,6.47,0.61,1.09,0.25,0.5,0.0,0.1900000000000004,-0.6000000000000001,0.5,117.5,0.0,84.33333333333333,0.5,33.16666666666667,1,0.25,0.6666666666666666,-0.41666666666666663,0.6666666666666666,0.0,0.27440000000000003,0.6829999999999999,-0.4085999999999999
Jamie Mullarkey,Rolando Bedoya,-134.0,114.0,74.6269,114.0,2025-09-27,"Perth, Western Australia, Australia",Australia,Red,False,Lightweight,MALE,3,3,0,0,6.23,0.47,0.2,0.0,0.0,0,3,9,0,0,0,0,0,0,0,0,Orthodox,180.34,187.96,155,2,0,0,4.1,0.46,0.1,2.46,0.3,2,6,24,0,0,1,2,2,0,0,5,Orthodox,182.88,187.96,155,31,28,1,0,-2,-5,-3,-15,0,-2,0,-2.54,0.0,-3,2.13,0.1,-2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,170.0,280.0,1600.0,1900.0,410.0,400.0,0.3333333333333333,4.39,0.46,2.31,0.34,0.1,0.0,7.29,0.49,0.0,0.0,0.0,0.3333333333333333,-2.9000000000000004,2.31,0.0,0.0,0.0,37.0,0.0,-37.0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.24,0.838,0.2,0.6379999999999999
Loma Lookboonmee,Alexia Thainara,190.0,-230.0,190.0,43.4783,2025-09-27,"Perth, Western Australia, Australia",Australia,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,4.62,0.43,1.8,4.54,0.57,2,0,4,0,0,0,1,0,1,0,2,Orthodox,162.56,170.18,115,0,4,0,3.67,0.55,0.1,1.81,0.5,4,2,26,0,0,1,5,0,1,0,7,Orthodox,154.94,154.94,115,29,29,0,-2,-2,-5,-2,-22,0,0,0,7.62,15.24,0,0.95,1.7,2.73,,,14.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,250.0,120.0,5000.0,1700.0,5000.0,5000.0,1.0,3.9566666666666666,0.5633333333333334,1.8699999999999999,0.5,0.1,1.0,4.62,0.43,4.54,0.57,1.8,0.0,-0.6633333333333336,-2.67,0.0,121.66666666666667,0.0,204.0,0.0,-82.33333333333333,0,0.125,0.3333333333333333,-0.20833333333333331,0.3333333333333333,0.07407407407407407,1.0050000000000001,4.3877999999999995,-3.3827999999999996
Diego Lopes,Jean Silva,176.0,-210.0,176.0,47.619,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Featherweight,MALE,5,0,6,0,4.82,0.51,0.6,1.2,0.6,6,0,12,0,0,0,1,4,1,0,6,Orthodox,170.18,175.26,145,1,0,0,3.83,0.47,1.4,0.88,0.5,5,3,20,2,0,0,2,2,1,0,5,Orthodox,180.34,182.88,145,30,28,-1,6,1,1,-3,-8,-2,2,0,-10.16,-7.62,-2,0.99,-0.8,0.32,,10.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,10.0,,,,Red,KO/TKO,Punches,2.0,4:48,588.0,650.0,420.0,650.0,1400.0,3300.0,2200.0,0.6666666666666666,4.076666666666667,0.51,0.6266666666666666,0.43333333333333335,2.3333333333333335,1.0,5.003333333333334,0.5133333333333333,1.07,0.5666666666666667,0.39999999999999997,-0.33333333333333337,-0.9266666666666667,-0.44333333333333347,0.3333333333333333,138.66666666666666,0.6666666666666666,8.333333333333334,-0.3333333333333333,130.33333333333331,1,0.5,0.7142857142857143,-0.2142857142857143,0.7142857142857143,0.14285714285714285,1.8399999999999999,1.3199999999999998,0.52
Rob Font,David Martinez,-130.0,108.0,76.9231,108.0,2025-09-13,"San Antonio, Texas, USA",USA,Blue,False,Bantamweight,MALE,3,0,2,0,4.82,0.46,0.0,0.6,0.25,2,0,4,0,0,0,1,1,0,0,2,Orthodox,165.1,170.18,135,0,2,0,5.11,0.45,0.3,0.7,0.29,4,7,52,0,0,1,4,6,1,0,12,Orthodox,172.72,180.34,135,38,27,0,0,-2,-10,-7,-48,0,-5,-1,-7.62,-10.16,-11,-0.29,-0.3,-0.1,,,9.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,145.0,210.0,1800.0,2000.0,650.0,480.0,0.6666666666666666,5.359999999999999,0.45,0.8099999999999999,0.32666666666666666,0.3,1.0,4.82,0.46,0.6,0.25,0.0,-0.33333333333333337,0.5399999999999991,0.20999999999999996,0.0,59.666666666666664,1.0,42.0,-1.0,17.666666666666664,0,0.5384615384615384,0.3333333333333333,0.20512820512820512,0.3333333333333333,0.1320754716981132,0.503,0.15,0.353
Rafa Garcia,Jared Gordon,152.0,-180.0,152.0,55.5556,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,5.64,0.53,0.0,1.78,0.32,3,6,37,0,0,1,5,3,0,0,9,Orthodox,175.26,172.72,155,0,1,0,4.31,0.45,0.5,3.13,0.44,2,4,25,0,0,0,4,0,1,0,5,Orthodox,170.18,177.8,155,31,37,0,0,1,4,2,12,0,3,-1,5.08,-5.08,6,1.33,-0.5,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Elbows,3.0,2:27,747.0,400.0,-115.0,5000.0,4500.0,3000.0,3000.0,0.6666666666666666,4.156666666666667,0.43,3.373333333333333,0.44,0.3666666666666667,0.6666666666666666,5.713333333333334,0.5433333333333334,1.78,0.3133333333333333,0.0,0.0,-1.5566666666666666,1.593333333333333,0.0,51.666666666666664,0.6666666666666666,114.66666666666667,-0.6666666666666666,-63.00000000000001,1,0.16666666666666666,0.3,-0.13333333333333333,0.3,0.15384615384615385,1.8772,0.5696,1.3075999999999999
Kelvin Gastelum,Dustin Stoltzfus,-235.0,194.0,42.5532,194.0,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.3,0.45,1.1,2.08,0.37,1,6,21,0,0,0,1,2,1,0,4,Orthodox,182.88,190.5,185,1,0,0,3.67,0.42,0.1,1.01,0.34,5,10,69,2,0,3,5,3,2,0,13,Southpaw,175.26,180.34,185,33,33,0,0,-4,-9,-4,-48,-2,-1,-1,7.62,10.16,0,-0.37,1.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,155.0,300.0,5000.0,4500.0,1300.0,5000.0,0.3333333333333333,3.716666666666667,0.42,1.07,0.34,0.1,0.3333333333333333,3.4266666666666663,0.44333333333333336,2.28,0.39666666666666667,1.0666666666666667,0.0,0.2900000000000005,-1.2099999999999997,0.0,71.0,0.3333333333333333,212.0,-0.3333333333333333,-141.0,1,0.35714285714285715,0.6,-0.24285714285714283,0.6,0.14285714285714285,0.4434,1.8696000000000002,-1.4262000000000001
Alexander Hernandez,Diego Ferreira,100.0,-118.0,100.0,84.7458,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.7,0.39,0.6,0.82,0.3,6,6,36,0,0,0,3,5,2,0,10,Orthodox,175.26,187.96,155,0,3,0,4.31,0.4,0.1,1.14,0.36,3,7,36,0,0,1,4,4,0,0,9,Orthodox,175.26,182.88,155,32,40,1,-3,3,1,-1,0,0,1,2,0.0,5.08,8,0.39,0.5,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2.0,3:46,526.0,300.0,230.0,5000.0,2700.0,1900.0,2500.0,1.0,4.35,0.4033333333333333,1.0766666666666667,0.33666666666666667,0.1,0.6666666666666666,4.926666666666667,0.39,0.9133333333333334,0.3,0.6,0.33333333333333337,-0.5766666666666671,0.16333333333333322,0.3333333333333333,147.0,0.3333333333333333,51.0,0.0,96.0,1,0.4,0.6363636363636364,-0.23636363636363633,0.6363636363636364,0.1891891891891892,0.5104,0.846,-0.3356
Jose Daniel Medina,Dusko Todorovic,320.0,-405.0,320.0,24.6914,2025-09-13,"San Antonio, Texas, USA",USA,Blue,False,Middleweight,MALE,3,3,0,0,4.73,0.57,0.3,1.77,0.21,2,6,18,0,0,0,1,3,0,0,4,Orthodox,185.42,187.96,185,3,0,0,2.13,0.36,0.0,0.39,0.33,0,3,7,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,34,31,0,0,2,4,3,11,0,3,0,2.54,0.0,-3,2.6,0.3,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,4:21,261.0,600.0,140.0,5000.0,2200.0,3500.0,1700.0,0.0,2.0,0.345,0.445,0.33,0.0,0.0,5.206666666666667,0.57,1.2166666666666666,0.15,0.09999999999999999,0.0,-3.206666666666667,-0.7716666666666665,0.0,36.0,0.0,111.0,0.0,-75.0,0,0.0,0.6,-0.6,0.6,0.375,0.1287,0.6717,-0.5429999999999999
Claudio Puelles,Joaquim Silva,-134.0,-210.0,74.6269,47.619,2025-09-13,"San Antonio, Texas, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,3.43,0.43,0.8,0.34,0.5,3,5,27,0,0,2,1,3,0,0,6,Southpaw,172.72,175.26,155,2,0,0,1.54,0.46,1.0,3.29,0.33,5,3,20,1,0,0,2,0,3,0,5,Southpaw,177.8,182.88,155,29,36,-1,0,-2,1,2,7,-1,3,-3,-5.08,-7.62,7,1.89,-0.2,-2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3.0,5:00,900.0,250.0,420.0,2000.0,1400.0,4000.0,2200.0,0.3333333333333333,1.56,0.49,3.17,0.36,1.2,0.3333333333333333,3.66,0.43,0.39,0.5,0.8,0.0,-2.1,2.78,0.0,152.0,0.3333333333333333,70.0,-0.3333333333333333,82.0,0,0.5,0.42857142857142855,0.07142857142857145,0.42857142857142855,0.14285714285714285,2.0857,0.9700000000000001,1.1157
Tatiana Suarez,Amanda Lemos,-430.0,340.0,23.2558,340.0,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,2.75,0.55,0.7,1.02,0.64,5,4,30,1,0,1,3,3,2,0,9,Southpaw,162.56,165.1,115,1,0,0,2.95,0.6,0.6,4.41,0.43,7,1,20,2,0,0,2,1,4,0,7,Southpaw,165.1,167.64,115,34,38,-1,1,-2,2,3,10,-1,2,-2,-2.54,-2.54,4,-0.2,0.1,-3.39,,4.0,2.0,,,2.0,,,,,,,,,,11.0,,,4.0,,,,,,,,,,14.0,Red,U-DEC,,3.0,5:00,900.0,210.0,750.0,1000.0,5000.0,2700.0,4500.0,0.6666666666666666,3.8299999999999996,0.62,5.603333333333334,0.5499999999999999,0.7999999999999999,0.6666666666666666,3.0233333333333334,0.5433333333333333,0.9400000000000001,0.6333333333333334,0.7666666666666666,0.0,0.8066666666666662,4.663333333333334,0.0,281.0,0.3333333333333333,257.0,-0.3333333333333333,24.0,1,0.625,0.5,0.125,0.5,0.047619047619047616,2.4963,1.3528,1.1435000000000002
Jesus Aguilar,Luis Gurule,158.0,-188.0,158.0,53.1915,2025-09-13,"San Antonio, Texas, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,4.47,0.4,0.0,0.58,0.14,1,1,5,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,2.54,0.38,1.1,1.52,0.29,3,2,12,0,0,1,0,1,2,0,4,Orthodox,162.56,157.48,125,29,31,0,0,-2,-3,-1,-7,0,-1,-2,2.54,5.08,2,1.93,-1.1,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,430.0,140.0,2700.0,4000.0,4000.0,2000.0,0.6666666666666666,1.82,0.4666666666666666,1.6733333333333331,0.31666666666666665,1.5666666666666667,0.0,4.47,0.4,0.58,0.14,0.0,0.6666666666666666,-2.6499999999999995,1.0933333333333333,0.0,127.0,0.0,137.0,0.0,-10.0,1,0.6,0.0,0.6,0.0,0.15384615384615385,1.5408,0.08120000000000001,1.4596
Nassourdine Imavov,Caio Borralho,112.0,-132.0,112.0,75.7576,2025-09-06,"Paris, Ile-de-France, France",France,Red,False,Middleweight,MALE,5,0,9,0,3.47,0.56,0.4,1.25,0.5,9,0,25,0,0,0,6,2,1,0,9,Southpaw,185.42,190.5,185,0,4,0,4.28,0.54,1.0,0.74,0.32,4,2,34,0,1,0,3,4,0,0,8,Orthodox,190.5,190.5,185,29,32,0,5,5,1,-2,-9,0,-2,1,-5.08,0.0,3,-0.81,-0.6,0.51,,7.0,2.0,,,,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,Red,U-DEC,,5.0,5:00,1500.0,270.0,160.0,1200.0,800.0,2500.0,2200.0,1.0,4.433333333333333,0.5466666666666667,0.8333333333333334,0.3466666666666667,1.1333333333333333,1.0,3.61,0.6,1.56,0.6,0.5,0.0,0.8233333333333328,-0.7266666666666667,0.3333333333333333,153.66666666666666,1.0,91.66666666666667,-0.6666666666666667,61.999999999999986,1,0.4444444444444444,0.3,0.14444444444444443,0.3,0.05714285714285714,1.2368000000000001,1.025,0.2118000000000002
Benoit Saint Denis,Mauricio Ruffy,146.0,-174.0,146.0,57.4713,2025-09-06,"Paris, Ile-de-France, France",France,Red,False,Lightweight,MALE,3,0,4,0,4.19,0.58,0.0,0.0,0.0,4,0,8,0,0,0,1,3,0,0,4,Orthodox,180.34,190.5,155,0,1,0,5.62,0.58,1.8,4.19,0.35,5,3,17,0,0,0,0,3,3,0,6,Southpaw,180.34,185.42,155,29,29,0,3,-1,-2,-3,-9,0,0,-3,0.0,5.08,0,-1.43,-1.8,-4.19,,15.0,13.0,,,,,,,,,13.0,,,,,,,,,,,,,15.0,,,,,Red,SUB,Rear Naked Choke,2.0,2:56,476.0,500.0,500.0,500.0,1600.0,600.0,100.0,0.3333333333333333,5.496666666666667,0.5499999999999999,4.306666666666667,0.3633333333333333,1.5,1.0,4.59,0.5866666666666666,0.0,0.0,0.0,-0.6666666666666667,0.9066666666666672,4.306666666666667,0.0,210.0,1.0,7.666666666666667,-1.0,202.33333333333334,1,0.8571428571428571,0.6,0.2571428571428571,0.6,0.16666666666666666,3.2665,0.0,3.2665
